Pop.Type,loc,bed,row,col,pop,mf,rep,Genotype,block,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-survivor,E_21_A,E,21,A,CC,5,10,CC_5_10,H,19,3.4,Y,NA
2023-survivor,E_22_A,E,22,A,IH,2,10,IH_2_10,H,14,5.6,Y,NA
2023-survivor,E_23_B,E,23,B,WR,3,2,WR_3_2,H,25,6,N,NA
2023-survivor,E_44_B,E,44,B,SC,4,10,SC_4_10,H,32,4.3,Y,NA
2023-survivor,E_46_B,E,46,B,IH,3,11,IH_3_11,I,26,4.5,Y,NA
2023-survivor,E_47_A,E,47,A,BH,4,11,BH_4_11,I,31,4,N,NA
2023-survivor,E_48_A,E,48,A,SC,5,11,SC_5_11,I,25,3.3,Y,NA
2023-survivor,E_49_A,E,49,A,YO7,4,3,YO7_4_3,I,9,1.5,N,NA
2023-survivor,E_49_B,E,49,B,TM2,6,4,TM2_6_4,I,6,1.5,N,NA
2023-survivor,E_20_D,E,20,D,BH,2,10,BH_2_10,H,13.3,4,Y,NA
2023-survivor,E_21_C,E,21,C,YO7,5,5,YO7_5_5,H,NA,NA,NA,Dead
2023-survivor,E_23_C,E,23,C,BH,1,10,BH_1_10,H,NA,NA,NA,Dead
2023-survivor,E_23_D,E,23,D,IH,5,10,IH_5_10,H,33,5.5,Y,NA
2023-survivor,E_27_C,E,27,C,BH,4,10,BH_4_10,H,19,4.5,Y,NA
2023-survivor,E_29_D,E,29,D,IH,4,10,IH_4_10,H,25,5,Y,NA
2023-survivor,E_43_D,E,43,D,IH,1,10,IH_1_10,H,13.5,4.5,N,NA
2023-survivor,E_50_D,E,50,D,IH,5,11,IH_5_11,I,15.5,1.2,N,NA
2023-survivor,F_7_B,F,7,B,IH,1,12,IH_1_12,J,12,2,N,NA
2023-survivor,F_24_A,F,24,A,TM2,2,4,TM2_2_4,I,NA,NA,NA,NA
2023-survivor,F_26_A,F,26,A,WL2,8,4,WL2_8_4,I,8,1.5,N,NA
2023-survivor,F_42_B,F,42,B,CC,3,11,CC_3_11,I,18.5,3,N,NA
2023-survivor,F_43_B,F,43,B,CC,8,11,CC_8_11,I,9.5,1.1,N,NA
2023-survivor,F_8_C,F,8,C,SC,6,12,SC_6_12,J,3,0.7,N,NA
2023-survivor,F_23_C,F,23,C,SC,2,23,SC_2_23,I,11,4,Y,NA
2023-survivor,F_43_C,F,43,C,CC,9,11,CC_9_11,I,20,2,N,NA
2023-survivor,F_44_C,F,44,C,IH,4,11,IH_4_11,I,14,3,N,NA
