survey_date,block,Genotype,pop.mf,parent.pop,mf,rep,height.cm,long.leaf.cm,survey.notes,elevation.group,elev_m,Lat,Long,GrwSsn_GD_Recent,GrwSsn_GD_Historical,Wtr_Year_GD_Recent,Wtr_Year_GD_Historical,day,height_next,height_diff,shrink_day,min_shrink_day
2023-07-03,NA,CP2_1_1,CP2_1,CP2,1,1,0.5,1.6,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.4,0.8999999999999999,NA,Inf
2023-07-03,NA,CP2_1_2,CP2_1,CP2,1,2,0.7,1.8,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.4,1.7,NA,Inf
2023-07-03,NA,CP2_1_3,CP2_1,CP2,1,3,1.1,1.8,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.7,1.6,NA,Inf
2023-07-03,NA,CP2_1_4,CP2_1,CP2,1,4,0.8,1.6,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.6,0.8,NA,Inf
2023-07-03,NA,CP2_1_5,CP2_1,CP2,1,5,0.9,1.8,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,3,2.1,NA,Inf
2023-07-03,NA,CP2_1_6,CP2_1,CP2,1,6,1,1.9,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,3.1,2.1,NA,Inf
2023-07-03,NA,CP2_1_7,CP2_1,CP2,1,7,1.5,2,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.2,0.7000000000000002,NA,Inf
2023-07-03,NA,CP2_1_8,CP2_1,CP2,1,8,1.1,1.5,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.6,1.5,NA,Inf
2023-07-03,NA,CP2_1_9,CP2_1,CP2,1,9,0.5,1.8,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.5,1,NA,Inf
2023-07-03,NA,CP2_1_10,CP2_1,CP2,1,10,0.7,1.4,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.3,1.5999999999999999,NA,Inf
2023-07-03,NA,CP2_1_11,CP2_1,CP2,1,11,0.8,1.6,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2,1.2,NA,Inf
2023-07-03,NA,CP2_1_12,CP2_1,CP2,1,12,0.5,1.6,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.5,1,NA,23
2023-07-03,NA,CP2_1_13,CP2_1,CP2,1,13,0.5,1.1,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,NA,NA,NA,Inf
2023-07-03,NA,CP2_2_1,CP2_2,CP2,2,1,0.9,1.1,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,NA,NA,NA,Inf
2023-07-03,NA,CP2_2_2,CP2_2,CP2,2,2,1.5,2.2,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,5,3.5,NA,Inf
2023-07-03,NA,CP2_2_3,CP2_2,CP2,2,3,0.9,1.7,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,0.6,-0.30000000000000004,NA,Inf
2023-07-03,NA,CP2_2_4,CP2_2,CP2,2,4,0.8,2,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.6,0.8,NA,Inf
2023-07-03,NA,CP2_2_5,CP2_2,CP2,2,5,1.4,2.4,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.6,1.2000000000000002,NA,Inf
2023-07-03,NA,CP2_2_6,CP2_2,CP2,2,6,1.3,1.5,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,3.1,1.8,NA,Inf
2023-07-03,NA,CP2_2_7,CP2_2,CP2,2,7,1.3,2,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,2.7,1.4000000000000001,NA,Inf
2023-07-03,NA,CP2_2_8,CP2_2,CP2,2,8,1,1.8,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,NA,NA,NA,Inf
2023-07-03,NA,CP2_2_9,CP2_2,CP2,2,9,0.5,2,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.7,1.2,NA,Inf
2023-07-03,NA,CP2_2_10,CP2_2,CP2,2,10,0.8,1.6,KN,High,2244.132886,38.66169,-120.13065,0.31372573043884605,0.27186043205580307,0.3865863099171068,0.4367699034245114,0,1.6,0.8,NA,23
