parent.pop,elevation.group,elev_m,probTotBr,sem_totbr,probRepBr,semRepBr,probFruits,semFruits,probFlowers,semFl
BH,Low,511.4294422,0.7741935483870968,0.07633651333031763,0.5161290322580645,0.09123958466923195,0.4838709677419355,0.09123958466923195,0.45161290322580644,0.09085862440549511
CP2,High,2244.132886,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
DPR,Mid,1018.591893,0,0,1,0,0,0,1,0
IH,Low,454.1298385,0.25,0.25,0,0,0,0,0,0
SC,Low,421.5178299,0.25,0.25,0.5,0.28867513459481287,0.25,0.25,0.25,0.25
TM2,Low,379.1526973,0.08333333333333333,0.08333333333333333,1,0,0.9166666666666666,0.08333333333333333,1,0
WL2,High,2020.115818,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
YO7,High,2469.978665,1,0,0,0,0,0,0,0
