parent.pop,elevation.group,elev_m,meanDiam,sem_diam,meanHeight,sem_height,meanLongestLeaf,sem_leaf,meanTotBr,sem_totbr,meanRepBr,semRepBr,meanFruits,semFruits,meanLongFruit,semLongFruit,meanFl,semFl
BH,Low,511.4294422,18.121612903225806,1.1389384886931817,55.8741935483871,5.142567384709527,7.142857142857143,0.2576054040925521,3.903225806451613,0.4827226517529868,1.1612903225806452,0.2936488071176341,64.2258064516129,23.82642021751373,8.293333333333333,0.8512996599970606,13.741935483870968,5.190969773265689
CP2,High,2244.132886,9.053333333333333,1.8649515930566254,15.733333333333333,5.778215795362595,2.55,1.3499999999999999,3.6666666666666665,2.185812841434,0.5,0.5,48,48.00000000000001,5.8,NA,1.6666666666666667,1.666666666666667
DPR,Mid,1018.591893,6.630000000000001,2.0999999999999996,34.2,9.7,NA,NA,1,0,1,0,0,0,NA,NA,58.5,57.5
IH,Low,454.1298385,12.965,4.020044568575495,15.675,4.2334727667326115,7.5,1.6391054470858994,1.25,0.25,0,0,0,0,NA,NA,0,0
SC,Low,421.5178299,13.9925,1.2414532814407473,30.075,7.405108034323334,5.466666666666667,0.7446102634562892,4,3,1.25,0.9464847243000456,6.5,6.5,5.2,NA,8.5,8.5
TM2,Low,379.1526973,11.161666666666667,1.1865686672166098,55.55833333333334,4.626151917701857,NA,NA,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.22473328748774737,248,69.67217609069004,7.090909090909091,0.8976185204553563,45.166666666666664,15.50309516180429
WL2,High,2020.115818,7.683333333333333,2.101311759618527,17.366666666666667,5.068968775248517,3.05,0.25,6,0.5773502691896258,1,1,14.666666666666666,14.666666666666668,6.2,NA,4,4
YO7,High,2469.978665,6.84,0.9900000000000001,7.8500000000000005,0.4500000000000001,3.05,0.7499999999999999,6.5,2.5,0,0,0,0,NA,NA,0,0
