survey_month,parent.pop,elev_m,N_height,mean_height_cm,sem_height_cm,N_length,mean_longest_leaf_cm,sem_longest_leaf_cm
dec_size,SC,421.5178299,36,2.5416666666666665,0.1408801697266944,36,2.511111111111111,0.1406773736490347
dec_size,IH,454.1298385,48,2.6979166666666665,0.10758015250941035,48,2.3666666666666667,0.10515664326018309
dec_size,BH,511.4294422,110,2.4536363636363636,0.07794993445440901,110,2.4145454545454546,0.06764027359177553
dec_size,WV,748.8570558,2,1.5,1.2,2,0.85,0.35
dec_size,FR,787,36,3.063888888888889,0.1859404571778834,36,2.1222222222222222,0.10212901202401677
dec_size,DPR,1018.591893,22,4.177272727272728,0.3524762015350306,22,2.786363636363636,0.17682816940599203
dec_size,WR,1158,9,1.9444444444444444,0.3782676562344267,9,1.5,0.27888667551135854
dec_size,WL1,1613.837245,124,2.390322580645161,0.07259040643047687,124,1.9233870967741935,0.051658931990030216
dec_size,SQ1,1921.036585,46,1.7847826086956522,0.1072253210822958,46,1.8934782608695653,0.08638763184830285
dec_size,SQ2,1934.45122,22,1.2727272727272727,0.14160212201888736,22,1.6227272727272728,0.12756999915025316
dec_size,WL2,2020.115818,22,1.8772727272727272,0.1969388920300358,22,1.490909090909091,0.1398683813755584
dec_size,YO4,2157.57391,6,3.1666666666666665,0.2333333333333334,6,2.1666666666666665,0.16261747890200626
dec_size,CP2,2244.132886,37,1.635135135135135,0.13875336298260388,37,1.772972972972973,0.11472965014481688
dec_size,CP3,2266.382201,6,0.9,0.1932183566158592,6,2.1,0.2816617356570348
dec_size,LV3,2353.550747,65,1.8446153846153845,0.09939796588110732,65,1.3661538461538463,0.06109092069789075
dec_size,SQ3,2373.170732,10,1.05,0.2414079074466654,10,1.58,0.2075250988836451
dec_size,YO7,2469.978665,16,1.39375,0.16162424271542106,16,1.325,0.1444818327679989
dec_size,YO8,2590.97836,13,2.3461538461538463,0.25334059991654506,13,2.3846153846153846,0.2093476295071815
dec_size,LV1,2593.416641,3,1.3,0.4932882862316248,3,1.5,0.35118845842842467
dec_size,LVTR1,2741.38982,13,1.8538461538461537,0.2507975444138632,13,1.5461538461538462,0.14124691265760722
dec_size,YO11,2872.295032,13,2.2615384615384615,0.1546453600232669,13,1.2076923076923076,0.16542933205851207
jan_size,CC,313,33,4.678787878787879,0.22679242176749692,33,2.463636363636364,0.10878270857976653
jan_size,TM2,379.1526973,35,6.36,0.3888185077034954,35,2.888571428571429,0.1293663567613492
jan_size,SC,421.5178299,34,3.176470588235294,0.17882857202759797,34,2.9705882352941178,0.1680086477999161
jan_size,IH,454.1298385,39,3.482051282051282,0.19155136923629526,39,2.905128205128205,0.16946166720671468
jan_size,BH,511.4294422,102,3.2245098039215687,0.10255365206634445,102,2.9647058823529413,0.07168070039292776
jan_size,FR,787,33,3.506060606060606,0.19423214174079376,33,2.581818181818182,0.1324631556445255
jan_size,DPR,1018.591893,20,5.12,0.4289890196116544,20,3.105,0.1907705979773392
jan_size,WR,1158,7,2.7714285714285714,0.5335033742537492,7,2.357142857142857,0.24771060578361814
jan_size,WL1,1613.837245,96,2.716666666666667,0.0978235372721946,95,2.4873684210526315,0.06337365162774017
jan_size,SQ1,1921.036585,37,2.116216216216216,0.15936781608438452,37,2.5486486486486486,0.10538230285051853
jan_size,SQ2,1934.45122,14,1.1142857142857143,0.1772367705681986,14,2.2357142857142858,0.18564030648244154
jan_size,WL2,2020.115818,18,2.2777777777777777,0.29578250660372296,18,1.75,0.18493065296274916
jan_size,YO4,2157.57391,5,2.24,0.19131126469708992,5,2.12,0.19849433241279207
jan_size,CP2,2244.132886,33,1.7787878787878788,0.16960055432017804,33,2.3,0.1282900359861721
jan_size,CP3,2266.382201,6,1.2333333333333334,0.4356349134054545,6,1.3833333333333333,0.24686928615047365
jan_size,LV3,2353.550747,51,2.1666666666666665,0.13987856544837532,51,1.6372549019607843,0.07001180764916536
jan_size,SQ3,2373.170732,9,1.011111111111111,0.22263849899459864,9,2.111111111111111,0.20578065752724595
jan_size,YO7,2469.978665,14,1.4071428571428573,0.1789665957272062,14,1.55,0.16399879388460267
jan_size,YO8,2590.97836,9,2.511111111111111,0.42506353918641276,9,2.1,0.46785562825393995
jan_size,LVTR1,2741.38982,9,1.7777777777777777,0.2933417507209797,9,1.7,0.16832508230603463
jan_size,YO11,2872.295032,8,2.4375,0.304101428098305,8,1.5250000000000001,0.1622938252500252
feb_size,CC,313,27,4.951851851851852,0.24975032377772022,27,2.7925925925925927,0.25592277180058587
feb_size,TM2,379.1526973,34,7.202941176470588,0.5135158128930634,34,3.95,0.29860788111948194
feb_size,SC,421.5178299,23,3.1695652173913045,0.22470312277256613,23,3.369565217391304,0.34831240705641625
feb_size,IH,454.1298385,32,3.640625,0.2520424381428651,32,3.4625,0.3037982007421926
feb_size,BH,511.4294422,85,3.3717647058823528,0.130057213920388,85,3.976470588235294,0.16196142863797067
feb_size,FR,787,16,3.38125,0.3905358231541207,15,2.7466666666666666,0.33521374370430274
feb_size,DPR,1018.591893,15,5.346666666666667,0.609204529472786,15,3.02,0.3081743476855732
feb_size,WR,1158,4,2.475,0.9339655596790851,4,2.475,0.5822012824902856
feb_size,WL1,1613.837245,61,2.560655737704918,0.12077343392346028,61,2.463934426229508,0.09544353713475677
feb_size,SQ1,1921.036585,16,1.93125,0.23991643510466998,16,3.18125,0.22935030521017405
feb_size,SQ2,1934.45122,4,1.125,0.23935677693908453,4,2.625,0.5202163011671203
feb_size,WL2,2020.115818,13,1.776923076923077,0.2817422549509606,13,1.623076923076923,0.1790837957972741
feb_size,CP2,2244.132886,20,1.565,0.23161617523735026,20,2.36,0.15276400788557218
feb_size,LV3,2353.550747,29,1.9896551724137932,0.11407637528723924,29,1.6827586206896552,0.09713493807588465
feb_size,SQ3,2373.170732,7,0.7285714285714286,0.21460293979511905,7,2.1714285714285713,0.2800631610006212
feb_size,YO7,2469.978665,11,1.290909090909091,0.22500688694694151,11,1.5545454545454547,0.1631305313175124
feb_size,YO8,2590.97836,4,2.45,0.5236092690801669,4,2.3,0.544671154612273
feb_size,LVTR1,2741.38982,4,2.15,0.3122498999199199,4,1.7,0.21213203435596428
feb_size,YO11,2872.295032,2,2.9000000000000004,0.7,2,2,0.10000000000000009
