block,row,col,parent.pop,mf,rep,diam,height,total_branch,longest_leaf,flowers,fruits,longest_fruit,repro_branch,phylogroup,elevation.group,UCD.seed.year,Lat,Long,elev_m
L1,4,D,BH,4,10,19.01,92.5,5,NA,28,80,9.2,2,4,Low,2021,37.40985,-119.96458,511.4294422
L1,5,D,WL1,1,11,3.59,11.2,1,2.8,0,0,NA,0,2,Mid,2020,38.78608,-120.2143,1613.837245
L1,10,A,BH,2,14,20.12,89.2,5,6.7,6,4,3.5,1,4,Low,2021,37.40985,-119.96458,511.4294422
L1,13,C,BH,3,13,21.77,109.5,6,NA,54,301,10.2,3,4,Low,2021,37.40985,-119.96458,511.4294422
L1,13,D,BH,5,22,25.52,62.7,2,NA,10,4,10.4,1,4,Low,2021,37.40985,-119.96458,511.4294422
L1,14,B,YO7,8,3,5.85,7.4,4,2.3,0,0,NA,0,1,High,2020,37.80903,-119.56605,2469.978665
L2,29,D,BH,3,14,12.78,30.2,2,8.4,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
L2,30,A,TM2,1,12,4.48,43,1,NA,10,0,NA,1,6,Low,2021,39.59255,-121.55072,379.1526973
L2,30,D,TM2,3,4,7.33,43.9,1,NA,51,27,2.7,1,6,Low,2021,39.59255,-121.55072,379.1526973
L2,34,B,TM2,5,8,6.35,38.5,1,NA,21,8,1.5,1,6,Low,2021,39.59255,-121.55072,379.1526973
L2,35,A,TM2,4,9,15.06,64.5,1,NA,44,452,9.1,1,6,Low,2021,39.59255,-121.55072,379.1526973
L2,40,D,BH,7,13,15.19,18.6,4,6.6,0,0,NA,0,4,Low,2021,37.40985,-119.96458,511.4294422
L2,41,D,BH,4,1,15.6,70.3,5,8.2,22,1,6.2,2,4,Low,2021,37.40985,-119.96458,511.4294422
