Genotype,pop.mf,parent.pop,mf,rep,pheno,Site,Survival,elevation.group,elev_m,Recent_Gowers_Dist_UCD,Historic_Gowers_Dist_UCD,Recent_Gowers_Dist_WL2,Historic_Gowers_Dist_WL2
BH_1_1,BH_1,BH,1,1,V,WL2,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_10,BH_1,BH,1,10,X,UCD,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_10,BH_1,BH,1,10,V,WL2,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_11,BH_1,BH,1,11,NA,WL2,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_12,BH_1,BH,1,12,V,WL2,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_13,BH_1,BH,1,13,V,WL2,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_2,BH_1,BH,1,2,NA,WL2,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_3,BH_1,BH,1,3,NA,WL2,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_4,BH_1,BH,1,4,V,WL2,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_5,BH_1,BH,1,5,NA,WL2,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_6,BH_1,BH,1,6,NA,WL2,0,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
BH_1_7,BH_1,BH,1,7,P,UCD,1,Low,511.4294422,0.27265454874229916,0.29522671477160767,0.5545827042936846,0.5299295878157245
