parent.pop,height_slope,length_slope
BH,0.7145706036197303,1.211713950031051
CC,0.6511575369796729,0.5318569780580192
CP2,0.4003200881971537,0.11716098416182283
CP3,0.4601197864437764,0.3281470496611959
DPR,0.4125520826800365,-0.36422058545167146
FR,0.18114833923109147,-0.7675152139174561
IH,0.9188705964112851,0.8329748287755379
LV1,0.28644982395274093,0.11562485227784713
LV3,0.28103148993199256,-0.15278951268878224
LVTR1,0.24684575574627793,-0.4644306632883026
SC,0.4012836497804772,0.5081958420644571
SQ1,0.3537783966976473,-8.345361553533381e-4
SQ2,0.5336497577429781,-0.0562781888523361
SQ3,0.41193631049697826,-0.17895746697705225
TM2,1.0846846463603455,-0.6180395156789741
WL1,-0.06915742532839231,-0.2147103628859616
WL2,0.5174052261482699,0.1770512717353826
WR,0.5414161683755545,0.20389103703983233
WV,0.48574373194936804,NA
YO11,0.12284828837464695,0.22485594923877272
YO4,0.4351521269653175,0.06364237440706011
YO7,0.5631842079013294,0.27698489407334353
YO8,0.2841613531802655,0.12108237383206089
