Pop.Type,block,loc,bed,row,col,pop,mf,rep,unique.ID,wrongID,height.cm,long.leaf.cm,herbiv.y.n,survey.notes
2023-survivor,NA,C_2_D,C,2,D,CC,9,6,CC_9_6,NA,NA,NA,NA,NA
2023-survivor,NA,C_10_D,C,10,D,BH,3,6,BH_3_6,BH_3,23,4.7,Y,NA
2023-survivor,NA,C_23_D,C,23,D,TM2,4,12,TM2_4_12,TM2_4,25,4.4,Y,NA
2023-survivor,NA,C_30_C,C,30,C,BH,4,7,BH_4_7,BH_4,10,4.5,N,NA
2023-TM2-fruit,NA,C_32_D,C,32,D,TM2,7,12,TM2_7_12,TM2_7,NA,NA,NA,NA
2023-TM2-fruit,NA,C_33_C,C,33,C,TM2,2,5,TM2_2_5,TM2_2,NA,NA,NA,NA
2023-survivor,NA,C_37_C,C,37,C,CC,2,7,CC_2_7,CC_2,36,3.8,Y,NA
2023-survivor,NA,C_38_C,C,38,C,YO7,1,3,YO7_1_3,YO7_1,5,0.9,N,NA
2023-TM2-fruit,NA,C_52_D,C,52,D,TM2,7,13,TM2_7_13,TM2_7,NA,NA,NA,NA
2023-survivor,NA,D_3_B,D,3,B,IH,5,9,IH_5_9,IH_5,2.8,3.2,N,Plant Present
2023-survivor,NA,D_14_A,D,14,A,IH,7,9,IH_7_9,IH_7,NA,NA,NA,Dead
2023-survivor,NA,D_17_A,D,17,A,CC,9,9,CC_9_9,CC_9,NA,NA,NA,Dead
2023-survivor,NA,D_19_A,D,19,A,TM2,7,18,TM2_7_18,TM2_7,20.1,4.8,Y,NA
2023-survivor,NA,D_19_B,D,19,B,CC,4,9,CC_4_9,CC_4,21,3.9,Y,NA
2023-survivor,NA,D_21_A,D,21,A,SC,5,9,SC_5_9,SC_5,NA,NA,NA,NA
2023-survivor,NA,D_24_B,D,24,B,IH,1,9,IH_1_9,IH_1,NA,NA,NA,Dead
2023-survivor,NA,D_40_B,D,40,B,BH,7,8,BH_7_8,BH_7,18.5,2,N,NA
2023-survivor,NA,D_25_C,D,25,C,CC,2,9,CC_2_9,CC_2,13,NA,N,NA
2023-survivor,NA,D_26_C,D,26,C,SC,8,15,SC_8_15,SC_8,16,4,Y,NA
2023-survivor,NA,D_40_C,D,40,C,IH,5,8,IH_5_8,IH_5,12,1.5,N,NA
2023-survivor,NA,D_51_C,D,51,C,IH,1,8,IH_1_8,IH_1,34,5.9,N,NA
2023-survivor,NA,D_55_C,D,55,C,SC,4,8,SC_4_8,SC_4,29,4,N,NA
2023-TM2-fruit,NA,E_8_B,E,8,B,TM2,6,2,TM2_6_2,TM2_6,NA,NA,NA,NA
2023-survivor,NA,E_21_A,E,21,A,CC,5,10,CC_5_10,CC_5,19,3.4,Y,NA
2023-survivor,NA,E_22_A,E,22,A,IH,2,10,IH_2_10,IH_2,14,5.6,Y,NA
2023-survivor,NA,E_23_B,E,23,B,WR,3,2,WR_3_2,WR_3,25,6,N,NA
2023-TM2-fruit,NA,E_25_B,E,25,B,TM2,1,15,TM2_1_15,TM2_1,NA,NA,NA,NA
2023-TM2-fruit,NA,E_29_A,E,29,A,TM2,1,9,TM2_1_9,TM2_1,NA,NA,NA,NA
2023-survivor,NA,E_44_B,E,44,B,SC,4,10,SC_4_10,SC_4,32,4.3,Y,NA
2023-survivor,NA,E_46_B,E,46,B,IH,3,11,IH_3_11,IH_3,26,4.5,Y,NA
2023-survivor,NA,E_47_A,E,47,A,BH,4,11,BH_4_11,BH_4,31,4,N,NA
2023-survivor,NA,E_48_A,E,48,A,SC,5,11,SC_5_11,SC_5,25,3.3,Y,NA
2023-survivor,NA,E_49_A,E,49,A,YO7,4,3,YO7_4_3,YO7_4,9,1.5,N,NA
2023-survivor,NA,E_49_B,E,49,B,TM2,6,4,TM2_6_4,TM2_6,6,1.5,N,NA
2023-survivor,NA,E_20_D,E,20,D,BH,2,10,BH_2_10,BH_2,13.3,4,Y,NA
2023-survivor,NA,E_21_C,E,21,C,YO7,5,5,YO7_5_5,YO7_5,NA,NA,NA,Dead
2023-survivor,NA,E_23_C,E,23,C,BH,1,10,BH_1_10,BH_1,NA,NA,NA,Dead
2023-survivor,NA,E_23_D,E,23,D,IH,5,10,IH_5_10,IH_5,33,5.5,Y,NA
2023-survivor,NA,E_27_C,E,27,C,BH,4,10,BH_4_10,BH_4,19,4.5,Y,NA
2023-survivor,NA,E_29_D,E,29,D,IH,4,10,IH_4_10,IH_4,25,5,Y,NA
2023-survivor,NA,E_43_D,E,43,D,IH,1,10,IH_1_10,IH_1,13.5,4.5,N,NA
2023-survivor,NA,E_50_D,E,50,D,IH,5,11,IH_5_11,IH_5,15.5,1.2,N,NA
2023-survivor,NA,F_7_B,F,7,B,IH,1,12,IH_1_12,IH_1,12,2,N,NA
2023-survivor,NA,F_24_A,F,24,A,TM2,2,4,TM2_2_4,TM2_2,NA,NA,NA,NA
2023-survivor,NA,F_26_A,F,26,A,WL2,8,4,WL2_8_4,WL2_8,8,1.5,N,NA
2023-survivor,NA,F_42_B,F,42,B,CC,3,11,CC_3_11,CC_3,18.5,3,N,NA
2023-survivor,NA,F_43_B,F,43,B,CC,8,11,CC_8_11,CC_8,9.5,1.1,N,NA
2023-survivor,NA,F_8_C,F,8,C,SC,6,12,SC_6_12,SC_6,3,0.7,N,NA
2023-survivor,NA,F_23_C,F,23,C,SC,2,23,SC_2_23,SC_2,11,4,Y,NA
2023-survivor,NA,F_43_C,F,43,C,CC,9,11,CC_9_11,CC_9,20,2,N,NA
2023-survivor,NA,F_44_C,F,44,C,IH,4,11,IH_4_11,IH_4,14,3,N,NA
2023-survivor,NA,G_5_B,G,5,B,IH,4,12,IH_4_12,IH_4,NA,NA,NA,Dead
2023-survivor,NA,G_8_A,G,8,A,YO7,6,15,YO7_6_15,YO7_6,8,1,N,NA
2023-survivor,NA,G_31_A,G,31,A,BH,7,13,BH_7_13,BH_7,11.5,2.7,Y,NA
2023-survivor,NA,G_37_A,G,37,A,YO7,7,9,YO7_7_9,YO7_7,3.9,1.1,N,NA
2023-TM2-fruit,NA,G_39_A,G,39,A,TM2,7,17,TM2_7_17,TM2_7,NA,NA,NA,2023 TM2 fruiting
2023-TM2-fruit,NA,G_40_A,G,40,A,TM2,3,7,TM2_3_7,TM2_3,NA,NA,NA,2023 TM2 fruiting
2023-survivor,NA,G_43_A,G,43,A,IH,6,13,IH_6_13,IH_6,9.2,2.1,Y,NA
2023-survivor,NA,G_5_D,G,5,D,YO7,5,7,YO7_5_7,YO7_5,4.6,1.8,Y,NA
2023-survivor,NA,G_6_D,G,6,D,IH,2,12,IH_2_12,IH_2,12.9,2.7,Y,NA
2023-survivor,NA,G_7_D,G,7,D,BH,4,12,BH_4_12,BH_4,25,5.1,Y,NA
2023-survivor,NA,G_12_D,G,12,D,CC,5,12,CC_5_12,CC_5,NA,NA,NA,Dead
2023-survivor,NA,G_27_C,G,27,C,YO7,6,9,YO7_6_9,YO7_6,10.1,2.2,Y,NA
2023-TM2-fruit,NA,G_31_C,G,31,C,TM2,7,5,TM2_7_5,TM2_7,NA,NA,NA,TM2 fruiting from 2023
2023-survivor,NA,G_32_D,G,32,D,WL2,7,6,WL2_7_6,WL2_7,7,1.5,N,NA
2023-survivor,NA,G_40_C,G,40,C,BH,2,13,BH_2_13,BH_2,19.4,3.5,Y,NA
2023-survivor,NA,G_42_C,G,42,C,SC,2,27,SC_2_27,SC_2,1,NA,NA,Top missing just stem
2023-survivor,NA,H_5_A,H,5,A,SC,4,1,SC_4_1,SC_4,7.1,1.4,Y,Top dead
2023-survivor,NA,H_6_B,H,6,B,SC,2,26,SC_2_26,SC_2,NA,NA,NA,O
2023-survivor,NA,H_11_B,H,11,B,IH,2,1,IH_2_1,IH_2,13.5,4,Y,NA
2023-survivor,NA,H_12_B,H,12,B,SC,2,1,SC_2_1,SC_2,NA,NA,NA,Included twice *
2023-survivor,NA,H_13_A,H,13,A,TM2,2,6,TM2_2_6,TM2_2,NA,NA,NA,Dead
2023-TM2-fruit,NA,H_21_B,H,21,B,TM2,1,12,TM2_1_12,TM2_1,NA,NA,NA,TM2 Fruiting from 2023
2023-survivor,NA,H_25_B,H,25,B,SC,4,14,SC_4_14,SC_4,NA,NA,NA,Dead
2023-TM2-fruit,NA,H_27_A,H,27,A,TM2,6,10,TM2_6_10,TM2_6,NA,NA,NA,TM2 Fruiting from 2023
2023-survivor,NA,H_31_A,H,31,A,YO7,4,11,YO7_4_11,YO7_4,16.6,1.4,N,NA
2023-survivor,NA,H_34_A,H,34,A,WL2,2,7,WL2_2_7,WL2_2,3.5,0.3,Y,plant present
2023-survivor,NA,H_3_C,H,3,C,YO7,7,15,YO7_7_15,YO7_7,10.3,1.6,N,2023 survivor present
2023-survivor,NA,H_11_C,H,11,C,IH,4,1,IH_4_1,IH_4,NA,NA,NA,Dead
2023-survivor,NA,H_12_C,H,12,C,YO7,4,1,YO7_4_1,YO7_4,8.9,0.7,N,NA
2023-survivor,NA,H_24_D,H,24,D,SC,6,13,SC_6_13,SC_6,7.6,3,Y,NA
2023-survivor,NA,H_31_C,H,31,C,IH,5,13,IH_5_13,IH_5,20.7,4.4,N,NA
2023-survivor,NA,I_12_A,I,12,A,IH,1,1,IH_1_1,IH_1,NA,NA,NA,Dead
2023-survivor,NA,I_16_B,I,16,B,BH,2,1,BH_2_1,BH_2,NA,NA,NA,Dead
2023-survivor,NA,I_18_A,I,18,A,BH,1,1,BH_1_1,BH_1,7.7,1.9,Y,NA
2023-survivor,NA,I_3_D,I,3,D,BH,4,1,BH_4_1,BH_4,NA,NA,NA,Dead
2023-survivor,NA,J_4_A,J,4,A,YO7,3,8,YO7_3_8,YO7_3,4,0.8,N,NA
2023-TM2-fruit,NA,J_5_A,J,5,A,TM2,2,11,TM2_2_11,TM2_2,NA,NA,NA,NA
2023-survivor,NA,J_8_A,J,8,A,BH,5,2,BH_5_2,BH_5,NA,NA,NA,Dead
2023-survivor,NA,J_10_A,J,10,A,BH,4,2,BH_4_2,BH_4,NA,NA,NA,Dead
2023-survivor,NA,J_15_A,J,15,A,YO7,7,11,YO7_7_11,YO7_7,2,1,N,NA
2023-TM2-fruit,NA,J_17_B,J,17,B,TM2,5,12,TM2_5_12,TM2_5,NA,NA,NA,NA
2023-survivor,NA,J_18_B,J,18,B,SC,8,2,SC_8_2,SC_8,NA,NA,NA,Dead
2023-TM2-fruit,NA,J_4_D,J,4,D,TM2,7,7,TM2_7_7,TM2_7,NA,NA,NA,NA
2023-survivor,NA,J_11_D,J,11,D,IH,5,2,IH_5_2,IH_5,18,3,Y,NA
2023-survivor,NA,J_13_C,J,13,C,BH,6,2,BH_6_2,BH_6,5,2,Y,NA
2023-survivor,NA,J_17_D,J,17,D,LV1,8,1,LV1_8_1,LV1_8,NA,NA,NA,Dead
2023-survivor,NA,K_2_B,K,2,B,IH,4,14,IH_4_14,IH_4,NA,NA,NA,Dead
2023-survivor,NA,K_4_B,K,4,B,IH,6,2,IH_6_2,IH_6,NA,NA,NA,Dead
2023-survivor,NA,K_10_A,K,10,A,YO7,1,2,YO7_1_2,YO7_1,11,1.5,N,NA
2023-survivor,NA,K_13_A,K,13,A,CC,1,2,CC_1_2,CC_1,31,2.3,N,NA
2023-survivor,NA,K_2_C,K,2,C,YO7,5,13,YO7_5_13,YO7_5,10,2.5,N,NA
2023-survivor,NA,K_7_C,K,7,C,SC,6,2,SC_6_2,SC_6,NA,NA,NA,Dead
2023-survivor,NA,K_8_C,K,8,C,IH,1,2,IH_1_2,IH_1,NA,NA,NA,Dead
2023-TM2-fruit,NA,K_12_D,K,12,D,TM2,6,12,TM2_6_12,TM2_6,NA,NA,NA,NA
