block ,bed ,row ,col ,unique.ID ,height.cm ,overhd.diam ,overhd.perp ,herbiv.y.n ,survey.notes 
B ,C ,28,B ,347,,,,,
B ,C ,29,A ,17,,,,,
B ,C ,29,B ,341,7.1,3.6,2.3,N ,
B ,C ,30,A ,1228,5.5,2.7,2.3,N ,
B ,C ,30,B ,513,9.2,3.3,2.5,Y ,
B ,C ,31,A ,939,6.8,2.4,1.6,Y ,
B ,C ,31,B ,543,,,,,6/25/24 wilting 
B ,C ,32,A ,1053,,,,,
B ,C ,32,B ,1279,,,,,
B ,C ,33,B ,183,3.3,1.5,1.5,Y ,
B ,C ,34,A ,776,,,,,
B ,C ,34,B ,2,,,,,
B ,C ,35,A ,136,NA ,NA ,NA ,NA ,
B ,C ,35,B ,1348,,,,,
B ,C ,36,A ,NA ,,,,,
NA ,C ,36,B ,SC_2_19 ,34.6,25.2,9.8,N ,Some buds dying 7/16 
C ,C ,37,A ,145,,,,,
C ,C ,37,B ,1289,5.1,2.5,1.4,Y ,
C ,C ,38,A ,1362,,,,,
C ,C ,38,B ,128,,,,,
C ,C ,39,A ,1347,,,,,7/9 Very wilted 
C ,C ,39,B ,1003,NA ,NA ,NA ,NA ,
C ,C ,40,A ,1162,2.9,1.5,0.7,N ,
NA ,C ,40,B ,BH_1_7 ,33.2,10.3,2.4,N ,
C ,C ,41,A ,738,,,,,7/9 very wilted 
C ,C ,41,B ,100,,,,,6/18/24 Wilting 
C ,C ,42,A ,1314,,,,,
C ,C ,42,B ,888,5.7,2,1,Y ,
C ,C ,43,A ,73,4.7,1.7,1.4,N ,
C ,C ,43,B ,355,,,,,
C ,C ,44,A ,481,,,,,
C ,C ,44,B ,1229,3,0.7,0.6,Y ,
NA ,C ,45,A ,BH_7_7 ,58.9,33.2,14,Y ,One dead stem 7/16 
C ,C ,45,B ,1121,3.2,1.4,0.9,N ,
C ,C ,46,A ,452,2,1.2,1.1,N ,
C ,C ,46,B ,20,,,,,
C ,C ,47,A ,187,,,,,
NA ,C ,47,B ,IH_2_7 ,25.7,13.8,10.1,Y ,
C ,C ,48,A ,361,NA ,NA ,NA ,NA ,7/9 wilting dead 
C ,C ,48,B ,243,,,,,
