parent.pop,elevation.group,elev_m,Lat,Long,year,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
LVTR1,High,2741.38982,40.47917,-121.5032,1977,3.08,14.813333333333334,634.1516881916847,35.57,-3.1483333333333334,5.746666666666666,1360.46,98.77052730946492,259.83000000000004,585.64
LVTR1,High,2741.38982,40.47917,-121.5032,1978,2.7479166666666663,14.2475,570.232985013117,32.65,-4.016666666666667,2.723333333333333,1926.2598999999998,109.40877385059584,403.06,916.2099
LVTR1,High,2741.38982,40.47917,-121.5032,1979,2.9641666666666664,14.146666666666667,599.0268560276945,32.71,-4.308333333333334,6.201666666666667,2154.15,72.9690378261179,304.45000000000005,856.6
LVTR1,High,2741.38982,40.47917,-121.5032,1980,3.3275,14.143333333333334,488.112761748572,29.220000000000002,-1.545,6.816666666666667,1665.78,85.21584153957762,134.60999999999999,961.75
LVTR1,High,2741.38982,40.47917,-121.5032,1981,4.088333333333333,14.3,543.7115433980066,31.65,2.866666666666667,8.365,2587.4699,119.220752936696,165.07,831.66
LVTR1,High,2741.38982,40.47917,-121.5032,1982,2.1537499999999996,13.339166666666667,607.3960114889851,32.19,2.686666666666667,3.9433333333333334,2424.56,68.94633304010748,396.12,765.2499999999999
LVTR1,High,2741.38982,40.47917,-121.5032,1983,2.6804166666666664,12.6875,549.5359802238668,27.619999999999997,-2.89,6.036666666666666,3422.2897000000003,94.50625366506715,240.95999999999998,1480.8599000000002
LVTR1,High,2741.38982,40.47917,-121.5032,1984,3.0275000000000003,13.271666666666667,616.8000449534237,32.15,1.3566666666666667,5.91,1626.82,106.80371332187322,300.94,272.14000000000004
LVTR1,High,2741.38982,40.47917,-121.5032,1985,2.51,14.313333333333334,670.0016621417645,32.27,1.6466666666666665,6.325,1077.42,95.10435166367478,194.03,313.65999999999997
LVTR1,High,2741.38982,40.47917,-121.5032,1986,3.95,13.618333333333334,492.12096628221957,29.17,-1.1183333333333334,4.115000000000001,1936.4398999999999,122.25891296650096,309.96,1089.5199
LVTR1,High,2741.38982,40.47917,-121.5032,1987,3.7245833333333334,14.284166666666668,664.7693536562934,33.269999999999996,-4.493333333333333,8.941666666666668,1505.8700000000001,128.7484428629613,28.57,892.35
LVTR1,High,2741.38982,40.47917,-121.5032,1988,4.367916666666667,13.8775,726.787872588986,34.22,0.8083333333333332,9.581666666666665,1324.5700000000002,130.18473438658086,144.47,360.22
LVTR1,High,2741.38982,40.47917,-121.5032,1989,2.9779166666666663,14.829166666666667,675.7505745577664,36.21,1.1033333333333335,0.3399999999999996,1683.4498999999998,122.47609110133779,650.1099,216.1
LVTR1,High,2741.38982,40.47917,-121.5032,1990,2.879166666666667,14.98,728.300694435445,37.18,0.6349999999999999,8.366666666666667,1137.2600000000002,90.11704248284025,113.74000000000001,434.53999999999996
LVTR1,High,2741.38982,40.47917,-121.5032,1991,3.9212499999999997,14.005833333333333,631.8752439078751,33.31,0.13999999999999999,7.8066666666666675,1376.97,113.61931206065923,135.79,253.69
LVTR1,High,2741.38982,40.47917,-121.5032,1992,4.687083333333333,13.955833333333333,651.5542068544236,33.45,-3.228333333333334,9.483333333333333,1516.21,107.4709705781731,119.93,821.47
LVTR1,High,2741.38982,40.47917,-121.5032,1993,3.0120833333333334,12.860833333333334,648.7073670816916,32.58,-5.41,7.668333333333333,2182.7499000000003,84.27993521908839,227.83,1058.6199000000001
LVTR1,High,2741.38982,40.47917,-121.5032,1994,3.7725,13.566666666666666,710.7438964659748,33.45,-3.8433333333333333,8.568333333333333,1099.9199999999998,95.95823690894997,96.92,510.95000000000005
LVTR1,High,2741.38982,40.47917,-121.5032,1995,4.175416666666667,12.5575,591.1130278909645,28.35,-1.7833333333333334,6.595,2675.7598,123.14516544723679,356.02,1296.5799
LVTR1,High,2741.38982,40.47917,-121.5032,1996,4.644166666666667,12.541666666666666,639.4033736558044,30.060000000000002,-2.1183333333333336,8.561666666666666,2903.9399000000008,110.16710175024882,263.65999999999997,1716.1199000000001
LVTR1,High,2741.38982,40.47917,-121.5032,1997,4.20375,12.8725,583.4751348211382,30.049999999999997,-2.9583333333333335,7.351666666666667,1932.7899,109.23827950676939,250.18,770.2399
LVTR1,High,2741.38982,40.47917,-121.5032,1998,3.1325,11.9,700.055079001905,33.849999999999994,-4.24,8.35,2785.02,86.98473712400511,171.25000000000003,1234.46
LVTR1,High,2741.38982,40.47917,-121.5032,1999,4.26625,13.6725,630.827383283256,30.060000000000002,-2.725,8.133333333333333,1585.6799999999998,95.10105341426174,158.01999999999998,704.52
LVTR1,High,2741.38982,40.47917,-121.5032,2000,4.627916666666667,12.670833333333334,626.5804184885875,29.560000000000002,-2.2283333333333335,8.299999999999999,1687.4300000000003,109.23446741508454,194.36,991.23
LVTR1,High,2741.38982,40.47917,-121.5032,2001,4.75625,12.935833333333333,729.8901575206057,33.5,-4.28,8.523333333333333,1816.5799,102.95231054667109,212.76,909.1199
LVTR1,High,2741.38982,40.47917,-121.5032,2002,4.859583333333333,13.4025,681.3239937575199,33.56,-2.766666666666667,9.505,1893.1998999999998,162.5331037343414,104.33,1194.3799
LVTR1,High,2741.38982,40.47917,-121.5032,2003,5.057083333333334,12.1275,707.1848947614675,30.87,2.728333333333334,6.234999999999999,1807.2699,113.80888393641067,180.68,773.0299
LVTR1,High,2741.38982,40.47917,-121.5032,2004,4.917083333333333,12.479166666666666,614.1108301784168,29.490000000000002,-2.6233333333333335,9.195,1445.35,99.11113366382652,121.85000000000001,867.9100000000001
LVTR1,High,2741.38982,40.47917,-121.5032,2005,4.566666666666666,11.853333333333333,609.8663912296817,31.67,-1.9283333333333335,8.006666666666668,2406.0199000000002,119.42172274235456,328.88,1241.8299
LVTR1,High,2741.38982,40.47917,-121.5032,2006,4.675833333333333,12.593333333333334,711.8920638734924,33.5,-2.2133333333333334,5.43,2111.5699999999997,100.07791393694161,415.59999999999997,954.25
LVTR1,High,2741.38982,40.47917,-121.5032,2007,4.977083333333333,13.470833333333333,652.9429690511517,34.05,-3.3183333333333334,7.133333333333334,1140.46,111.42137675889079,132.23000000000002,579.8
LVTR1,High,2741.38982,40.47917,-121.5032,2008,4.619583333333334,13.7225,708.8675173803423,32.769999999999996,-3.84,9.1033333333333335,1304.2199999999998,117.77317993622431,16.71,812.01
LVTR1,High,2741.38982,40.47917,-121.5032,2009,4.784583333333334,13.340833333333332,677.6712952971352,33.17,-2.6999999999999997,9.496666666666668,1569.23,81.20284637064309,66.55,639.3399999999999
LVTR1,High,2741.38982,40.47917,-121.5032,2010,4.352916666666667,11.934166666666668,638.3546484494099,30.150000000000002,-1.8199999999999996,8.371666666666668,2422.7199,82.63344999494464,267.71000000000004,1145.4298999999999
LVTR1,High,2741.38982,40.47917,-121.5032,2011,4.135833333333333,12.808333333333334,655.1963214922453,31.150000000000002,3.345,6.891666666666667,1581.5600000000002,108.23764575886166,170.37,285.38
LVTR1,High,2741.38982,40.47917,-121.5032,2012,5.042083333333333,12.420833333333334,675.7981294309893,31.08,2.4150000000000005,10.57,2240.6199000000006,113.45167126364417,206.46,912.6499
LVTR1,High,2741.38982,40.47917,-121.5032,2013,4.904583333333333,13.754166666666666,655.7582862032644,34.67,3.2399999999999998,2.561666666666667,718.1100000000001,65.1674010900782,205.88,106.91
LVTR1,High,2741.38982,40.47917,-121.5032,2014,6.0495833333333335,12.2325,612.0828248445606,30.599999999999998,-0.6983333333333334,9.19,2126.6400000000003,104.30076228255345,163.23999999999998,921.14
LVTR1,High,2741.38982,40.47917,-121.5032,2015,6.027083333333334,12.214166666666667,622.4111641005243,28.67,-0.2116666666666666,9.658333333333333,1174.23,128.1520378747281,137.20999999999998,657.3
LVTR1,High,2741.38982,40.47917,-121.5032,2016,5.355833333333333,11.761666666666667,638.1006202121665,31.810000000000002,-1.9000000000000001,10.135,2633.0198000000005,99.61450817353577,99.42999999999999,1018.98
LVTR1,High,2741.38982,40.47917,-121.5032,2017,5.50875,12.2625,707.085700251391,32.95,-2.4616666666666664,9.786666666666667,2416.3899,115.50257100176286,323.79,1205.4699
LVTR1,High,2741.38982,40.47917,-121.5032,2018,5.175,12.799999999999999,660.4130594490914,32.44,2.505,9.235,1464.6699999999998,104.52338049153838,217.37,461.81
LVTR1,High,2741.38982,40.47917,-121.5032,2019,4.440833333333333,11.816666666666666,665.6596124874707,31.97,-3.233333333333333,4.995,2191.29,104.32975707076477,244.90999999999997,1363.49
LVTR1,High,2741.38982,40.47917,-121.5032,2020,5.827500000000001,12.998333333333333,702.6530405929697,30.76,1.9316666666666669,8.86,990.24,102.22800498366853,69.99,309.59000000000003
LVTR1,High,2741.38982,40.47917,-121.5032,2021,5.691666666666666,13,735.7056394229883,32.41,-2.5366666666666666,10.47,1398.55,115.40543230402922,89.39,677.68
LVTR1,High,2741.38982,40.47917,-121.5032,2022,5.051666666666667,13.443333333333333,709.1947524972933,32.22,4.3500000000000005,4.058333333333334,1142.5100000000004,149.38061640385482,247.19,567.9
LVTR1,High,2741.38982,40.47917,-121.5032,2023,3.8866666666666667,12.036666666666667,699.8431101238897,33.09,-3.2399999999999998,7.91,1776.2299,121.09930602200436,103.9,813.08
SC,Low,421.5178299,38.41167,-120.73583000000001,1896,14.715,13.586666666666668,581.7280292370309,29.990000000000002,9.491666666666667,13.955,991.7800000000001,116.94774209758741,118.91,397.91999999999996
SC,Low,421.5178299,38.41167,-120.73583000000001,1897,14.271666666666667,13.746666666666666,662.7965316929791,31.889999999999997,6.8,19.153333333333332,669.17,112.2513499862468,24.29,374.8
SC,Low,421.5178299,38.41167,-120.73583000000001,1898,14.32875,14.6175,662.5755231395409,35.09,6.773333333333333,19.25,369.18,81.56521830536974,31.48,175.55
SC,Low,421.5178299,38.41167,-120.73583000000001,1899,14.297916666666667,14.142499999999998,582.066438660701,31.85,11.473333333333334,18.295,904.7500000000001,109.15455894660988,29.84,285.41999999999996
SC,Low,421.5178299,38.41167,-120.73583000000001,1900,14.595416666666667,13.950833333333334,557.6738399301373,31.46,13.405000000000001,16.925,651.28,98.58512832907377,83.67999999999999,179.57999999999998
SC,Low,421.5178299,38.41167,-120.73583000000001,1901,14.742083333333333,14.424166666666666,590.8017456402064,31.419999999999998,7.793333333333332,18.168333333333333,719.99,96.29054215041822,31.78,390.04
SC,Low,421.5178299,38.41167,-120.73583000000001,1902,14.277916666666666,14.455833333333333,643.4673989881741,32.26,7.711666666666666,16.888333333333332,731.55,107.69836890932301,72.26,346.96999999999997
SC,Low,421.5178299,38.41167,-120.73583000000001,1903,14.569583333333334,15.610833333333332,635.4928816686424,34.089999999999996,12.910000000000002,18.263333333333335,691.1099999999999,137.18339153298967,23.12,263.91
SC,Low,421.5178299,38.41167,-120.73583000000001,1904,15.435416666666667,14.724166666666667,626.1843853608113,32.52,8.208333333333334,17.786666666666665,990.8400000000001,111.80557720644187,167.72,395.32
SC,Low,421.5178299,38.41167,-120.73583000000001,1905,15.647499999999999,15.881666666666666,603.8626988736007,35.61,13.01,17.251666666666665,538.12,105.50074718458981,43.81,230.37
SC,Low,421.5178299,38.41167,-120.73583000000001,1906,15.618333333333334,15.115,593.6238988899734,32.97,9.606666666666667,16.873333333333335,1252.9,110.86265117930871,84.32000000000001,701.6800000000001
SC,Low,421.5178299,38.41167,-120.73583000000001,1907,15.371666666666666,14.166666666666668,562.9881450929065,31.25,9.108333333333334,16.721666666666668,908.7800000000001,144.00520176878922,28.58,434.3299999999999
SC,Low,421.5178299,38.41167,-120.73583000000001,1908,15.605833333333333,15.278333333333332,641.7193465191536,34.53,8.118333333333334,20.515,430.35999999999996,94.9834135017917,21.240000000000002,236.11
SC,Low,421.5178299,38.41167,-120.73583000000001,1909,15.229166666666666,13.540000000000001,631.405712868061,32.49,8.1466666666666665,20.155,1079.45,142.05579571128865,3.95,806.64
SC,Low,421.5178299,38.41167,-120.73583000000001,1910,15.486666666666666,14.981666666666667,626.2686881019757,33.7,7.390000000000001,19.76,488.90000000000003,106.92930628205566,39.72,271.22
SC,Low,421.5178299,38.41167,-120.73583000000001,1911,14.235416666666666,15.1125,619.9489149897511,34.39,6.859999999999999,14.806666666666667,980.6599,179.33338723040424,171.98,676.1799
SC,Low,421.5178299,38.41167,-120.73583000000001,1912,14.14,14.281666666666666,574.3472975315702,31.31,11.943333333333333,12.893333333333333,546.75,79.6894150003493,144.83,136.41
SC,Low,421.5178299,38.41167,-120.73583000000001,1913,15.01,14.843333333333334,681.6160276071191,33.91,6.963333333333334,17.736666666666665,566.5000000000001,122.70017410479956,44.629999999999995,311.06000000000006
SC,Low,421.5178299,38.41167,-120.73583000000001,1914,15.037083333333333,15.0175,568.6245149614563,32.18,7.625,14.431666666666667,768.6499999999999,146.09060849559805,57.44,590.9100000000001
SC,Low,421.5178299,38.41167,-120.73583000000001,1915,15.008333333333333,13.67,614.5286195470674,31.4,7.785,16.273333333333333,807.2699999999999,121.668442322858,50.64,566.47
