parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,-51.10380555555555,18.29497222222222,-137.20133333333334,3.9974444444444446,8.851833333333335,6.424638888888886,4.854388888888856,-72.72851845139712,2.9876666666666694,9.066055555555556,0.833833333333331,-613.2456666666667,9.444174455239562,51.98733333333334,-500.2366666666666
CC,Low,313,-17.509638888888887,3.3858611111111117,-137.14158333333333,5.122472222222222,8.826944444444443,6.97470833333333,3.70447222222219,-88.22818548173632,1.5273333333333312,9.376666666666667,0.798333333333332,-210.1156666666668,7.561889634621281,84.61233333333334,-284.36899999999997
CP2,High,2244.132886,10.228943333333333,4.3999444444444435,125.96306527777793,-4.033416666666667,-1.5738611111111105,-2.8036388888888926,2.459555555555525,-95.24118175419096,0.319666666666663,0.36594444444444474,-8.717833333333333,122.74731999999995,-4.954174990654437,147.25133333333332,-165.0910133333333
CP3,High,2266.382201,6.276694166666658,-12.285722222222219,142.21576055555542,-4.581555555555555,-2.3293333333333326,-3.4554444444444483,2.252222222222189,-94.197450969197,0.18900000000000006,-0.283833333333333,-9.360611111111112,75.32033000000001,-5.996624125996689,140.94733333333332,-192.34800333333328
DPR,Mid,1018.591893,20.624525833333337,-29.699888888888882,-116.89272250000002,2.4831666666666665,5.600638888888888,4.041902777777773,3.1174722222221884,-86.52476708738357,0.7283333333333317,6.535333333333334,-1.8176111111111126,247.49431000000004,6.620493668385109,136.36566666666667,-58.60800999999992
FR,Mid,787,-15.285028055555543,17.716,-118.12811111111108,0.8026388888888896,6.016027777777779,3.409333333333329,5.213388888888856,-60.20121805166275,3.742666666666665,5.600277777777778,-2.400833333333333,-183.4203366666668,4.986534062600427,84.19333333333334,-268.13700333333327
IH,Low,454.1298385,-11.704278333333335,-5.979555555555557,-135.74919444444444,3.921444444444445,7.741027777777777,5.83123611111111,3.8195833333333002,-96.42327269534212,1.3726666666666674,8.1575,-0.3588333333333331,-140.45134000000007,7.099734287617181,95.61466666666666,-255.90367333333324
LV1,High,2593.416641,49.593135277777776,-9.665527777777783,371.14062527777776,-7.249499999999999,-3.7833888888888882,-5.516444444444448,3.466111111111081,-110.65257060279964,1.6426666666666634,-1.6329999999999996,-11.678333333333335,595.1176233333331,-7.155660990087597,216.027,-27.86602333333326
LV3,High,2353.550747,46.677663611111115,-18.306055555555552,363.7010697222222,-7.255249999999999,-3.770833333333334,-5.513041666666671,3.4844166666666343,-113.10958805189057,1.6219999999999999,-1.611833333333333,-11.689666666666668,560.1319633333333,-7.448933541277114,211.94799666666668,-47.855019999999854
LVTR1,High,2741.38982,54.89316305555556,-7.0149444444444455,389.9787108333335,-7.391444444444444,-3.927666666666667,-5.65955555555556,3.4637777777777448,-113.54750565304983,1.6666666666666643,-1.7508888888888887,-11.869277777777778,658.7179566666664,-7.258224105935156,215.45632999999998,-6.760353333333342
SC,Low,421.5178299,-37.784305555555555,16.41608333333334,-137.17105555555554,4.040444444444445,8.639444444444443,6.339944444444441,4.5989999999999664,-104.4268797429097,2.0443333333333342,8.829333333333334,0.06788888888888778,-453.41166666666663,5.1770722330100085,70.80766666666666,-421.6216666666666
SQ1,Mid,1921.036585,-15.410418055555553,12.370777777777782,-54.34700305555553,-1.610666666666666,0.30347222222222214,-0.6535972222222259,1.914138888888857,-106.2092867943237,-0.674666666666667,2.697166666666667,-6.685833333333333,-184.9250166666668,7.068273518608123,104.191,-278.00767999999994
SQ2,Mid,1934.45122,-13.193945,-4.2905000000000015,-50.33275305555547,-1.6986111111111106,0.27252777777777837,-0.7130416666666708,1.9711388888888557,-107.4404971518345,-0.5440000000000005,2.6782222222222227,-6.695611111111113,-158.32734000000005,7.3257447403344,105.03,-265.3036733333332
SQ3,High,2373.170732,-5.473500555555546,-0.19036111111110898,32.16012916666659,-3.758722222222222,-1.9323333333333323,-2.8455277777777814,1.8263888888888573,-119.96941939443445,-0.7586666666666666,0.6862222222222224,-8.87616666666667,-65.6820066666669,6.779096306053361,107.214,-219.32233999999994
TM2,Low,379.1526973,-7.690500277777787,-3.515611111111113,-136.7652222222222,4.762222222222223,8.367138888888888,6.564680555555549,3.604916666666634,-88.01023211763913,1.3376666666666708,9.172222222222222,0.48777777777777587,-92.28600333333338,7.6688763104725695,96.87033333333332,-224.6840033333333
WL1,Mid,1613.837245,1.9509711111111159,-0.38308333333333167,-59.114529444444386,-0.760472222222222,2.3636388888888895,0.8015833333333298,3.1241111111110786,-93.71455956232285,0.9426666666666677,3.4635000000000007,-5.154555555555557,23.411653333333106,-0.6280760147830762,119.30266666666667,-195.1723433333333
WL2,High,2020.115818,4.687165833333339,-5.652555555555551,40.398905277777885,-2.6141944444444443,-0.3315833333333309,-1.4728888888888925,2.2826111111110787,-97.59060709962705,0.04133333333333766,1.2908888888888892,-7.478611111111112,56.24598999999989,-3.7399419499618602,127.30833333333335,-191.85001
WR,Mid,1158,33.49702500000001,-14.04636111111111,-87.79352805555553,1.4783888888888894,4.47175,2.97506944444444,2.993361111111076,-85.14319515996453,0.6296666666666653,5.390777777777778,-2.9637222222222235,401.9643000000001,6.1159549434807445,143.51033333333334,15.195976666666752
