parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,ann_ppt,ppt_seasonality,tmean_wettest_month,tmean_driest_month,ppt_warmest_month,ppt_coldest_month
LV1,High,2593.416641,40.47471,-121.50486,2019,60.022,0,28.81,1.8039999999999996,15.693999999999999,8.749,13.89,5.55088776683514,26.130000000000003,144.05,79.66970460547866,9.91,13.63,30.8,66.03
LV1,High,2593.416641,40.47471,-121.50486,2020,69.378,11.814,29.203999999999997,3.8280000000000003,18.326,11.077,14.498,6.5332769342803765,28.91,146.02,163.37196673129677,0.43500000000000005,14.16,7.48,116
LV1,High,2593.416641,40.47471,-121.50486,2021,71.366,0,103.87600000000002,4.172,17.39,10.781,13.218,6.531456001535951,27.01,519.38,153.87694063844157,4.99,15.935,3.21,384.61
LV1,High,2593.416641,40.47471,-121.50486,2022,70.878,23.308,33.032,3.426,17.16,10.293,13.734,7.30464287285833,31.159999999999997,165.16,160.87406502741572,-2.005,9.535,4.09,128.16
LV1,High,2593.416641,40.47471,-121.50486,2023,66.186,8.386,36.044,2.448,15.814,9.131,13.366,5.894057812746665,27.61,180.22,105.05847284630006,0.7400000000000002,15.675,0.26,101.24
LV3,High,2353.550747,40.47917,-121.52311,1994,55.52,48.254000000000005,57.20399999999999,0.13799999999999982,14.948,7.543,14.81,8.24210728515469,33.620000000000005,286.02,183.4140499561869,-5.095,13.8675,0,247.38
LV3,High,2353.550747,40.47917,-121.52311,1995,53.696000000000005,92.204,7.618,1.7379999999999998,16.582,9.16,14.844,4.574393402408672,24.950000000000003,38.09,105.5099783972578,3.4150000000000005,12.245,13.16,20.74
LV3,High,2353.550747,40.47917,-121.52311,1996,49.54,25.416,84.654,2.1039999999999996,16.268,9.186,14.164,6.33793874220949,26.9,423.27,108.63713983439814,1.3,14.625,57.14,236.01
LV3,High,2353.550747,40.47917,-121.52311,1997,40.87,60.326,149.02,0.7979999999999999,15.01,7.904,14.212,5.086587018817234,25.139999999999997,745.1,110.16731540322678,0.8099999999999998,12.125,31.49,416.51
LV3,High,2353.550747,40.47917,-121.52311,1998,48.042,139.47,129.088,1.1219999999999999,15.414000000000001,8.268,14.292,6.928662028126354,29.25,645.44,166.21647973368198,-1.37,13.47,20.86,511.56
LV3,High,2353.550747,40.47917,-121.52311,1999,49.922,14.884,90.122,1.598,17.184,9.391,15.586,4.445792111648947,24.270000000000003,450.61,122.87408451584317,2.485,12.045,0.18,235.04
LV3,High,2353.550747,40.47917,-121.52311,2000,53.878,14.419999999999998,57.424,0.8300000000000001,14.876,7.853000000000001,14.046,6.273751469416047,29.39,287.12,111.74046361752931,4.9,13.775,2.06,158.82
LV3,High,2353.550747,40.47917,-121.52311,2001,57.006,44.924,101.268,2.796,16.952,9.874,14.156,5.614123261917217,26.6,506.34,138.05122607557982,0.995,14.435,0,339.12
LV3,High,2353.550747,40.47917,-121.52311,2002,52.084,24.838,64.486,2.196,17.266,9.731,15.07,5.929670522044205,28.39,322.43,183.90035814802195,1.775,12.5975,44.76,277.13
LV3,High,2353.550747,40.47917,-121.52311,2003,51.438,24.662,42.152,2.628,16.692,9.66,14.064,7.0436274390402,29.65,210.76,125.19942406669948,-1.74,8.105,5.67,129.82
LV3,High,2353.550747,40.47917,-121.52311,2004,51.372,10.236,59.559999999999995,1.8679999999999999,15.376,8.622,13.508,5.858855050263661,26.4,297.8,102.1418558754441,5.034999999999999,13.57,24.32,153.76
LV3,High,2353.550747,40.47917,-121.52311,2005,56.879999999999995,29.35,77.91999999999999,2.226,16.15,9.188,13.924,6.075128187947971,27.28,389.6,156.52240261158153,1.66,14.255,0.06,293.01
LV3,High,2353.550747,40.47917,-121.52311,2006,54.788000000000004,26.630000000000003,43.604000000000006,1.972,16.323999999999998,9.148,14.352,6.135778882912909,27.47,218.02,186.37793981553128,0.5599999999999998,13.125,7.38,191.68
LV3,High,2353.550747,40.47917,-121.52311,2007,50.742,0,63.996,1.902,16.63,9.266,14.728,5.447764908657494,27.29,319.98,128.95476183607752,4.630000000000001,13.94,37.21,211.04
LV3,High,2353.550747,40.47917,-121.52311,2008,58.172000000000004,10.078,74.718,2.5280000000000005,17.588,10.058,15.06,5.385695869616107,25.6,373.59,139.38917400519398,2.955,14.935,0,231.9
LV3,High,2353.550747,40.47917,-121.52311,2009,53.298,9.104000000000001,60.982,1.962,16.733999999999998,9.348,14.772,6.246951856705797,28.32,304.90999999999997,119.70388633402762,4.785,14.83,1.03,173.79
LV3,High,2353.550747,40.47917,-121.52311,2010,52.332,36.757999999999996,114.71600000000001,2.1479999999999997,16.094,9.121,13.946,6.181239155703329,29.02,573.58,118.13840693661288,6.890000000000001,15.435,4.18,300.1
LV3,High,2353.550747,40.47917,-121.52311,2011,54.565999999999995,15.081999999999999,55.516,2.068,16.512,9.29,14.444,6.034741088066662,27.28,277.58000000000004,132.68276076056029,6.665,13.4425,0,167.77
LV3,High,2353.550747,40.47917,-121.52311,2012,58.400000000000006,40.948,99.95,3.472,17.034,10.253,13.562,5.866890786438758,25.81,499.75,170.54347124940963,1.96,12.675,1.2,398.07
LV3,High,2353.550747,40.47917,-121.52311,2013,55.762,0.148,37.546,2.1439999999999997,15.968,9.056,13.824,5.963825743597813,28.33,187.73,74.05310896422367,1.565,13.05,9.43,70.15
LV3,High,2353.550747,40.47917,-121.52311,2014,52.464,15.14,108.75,3.952,16.988,10.47,13.036,5.704611073508867,26.700000000000003,543.75,103.1145598357584,7.45,16.545,8.94,241.53
LV3,High,2353.550747,40.47917,-121.52311,2015,51.388,24.342,60.25,2.912,15.808,9.36,12.896,6.324903161314013,27.54,301.25,84.3844580458005,-0.9450000000000004,14.055,68.86,141.29
LV3,High,2353.550747,40.47917,-121.52311,2016,54.256,25.606,154.714,2.9979999999999998,15.79,9.394,12.792,5.87393224339539,26.1,773.57,144.57917710224163,5.055,14.335,10.43,507.49
LV3,High,2353.550747,40.47917,-121.52311,2017,55.356,53.386,102.31599999999999,3.554,16.922,10.238,13.368,6.495428777224795,26.25,511.58,182.5053559621286,1.6350000000000002,16.055,12.6,437.99
LV3,High,2353.550747,40.47917,-121.52311,2018,58.1,13.85,53.37799999999999,2.4839999999999995,17.11,9.797,14.626,6.03097483828278,28.27,266.89,160.61003131744272,1.9849999999999992,12.5025,2.26,202.09
LV3,High,2353.550747,40.47917,-121.52311,2019,47.275999999999996,0,28.686,1.72,15.703999999999999,8.712,13.984,5.566440289808201,26.369999999999997,143.43,80.86177397019928,9.91,13.605,30.9,66.48
LV3,High,2353.550747,40.47917,-121.52311,2020,56.992000000000004,12.774,28.838,3.706,18.344,11.025,14.638,6.5150402915101,28.95,144.19,163.662976807293,0.43500000000000005,14.045,7.24,114.75
LV3,High,2353.550747,40.47917,-121.52311,2021,62.332,0,104.654,4.04,17.406,10.723,13.366,6.489210853408911,27.19,523.27,153.75760831864326,5.0649999999999995,15.845,3.14,387.23
LV3,High,2353.550747,40.47917,-121.52311,2022,58.954,23.369999999999997,32.9,3.3120000000000003,17.178,10.245,13.866,7.335636475453238,31.33,164.5,161.20283258665376,-2.075,9.415,3.93,127.86
LV3,High,2353.550747,40.47917,-121.52311,2023,51.998,9.39,35.949999999999996,2.4179999999999997,15.83,9.124,13.412,5.840823358054924,27.62,179.75,104.89682350465864,0.75,15.565,0.19,100.85
LVTR1,High,2741.38982,40.47917,-121.5032,1994,74.476,49.858,59.278,-0.016000000000000545,14.799999999999999,7.392,14.816,8.17457919406253,33.45,296.39000000000004,182.9329381914172,-5.155,13.732499999999998,0,255.68
LVTR1,High,2741.38982,40.47917,-121.5032,1995,71.572,105.23798,8.226,1.586,16.448,9.017,14.862,4.51054403592294,24.92,41.129999999999995,106.1048434928298,3.3699999999999997,12.010000000000002,14.23,22.32
LVTR1,High,2741.38982,40.47917,-121.5032,1996,68.64999999999999,24.178,89.46600000000001,1.9759999999999998,16.137999999999998,9.057,14.162,6.241294537193386,26.700000000000003,447.33,108.33753816067512,1.255,14.345,62.88,248.88
LVTR1,High,2741.38982,40.47917,-121.5032,1997,61.78,61.536,157.816,0.6719999999999998,14.862,7.767,14.19,5.111299492301345,25.03,789.08,109.83090439808645,0.7249999999999999,11.975,38.73,438.28
LVTR1,High,2741.38982,40.47917,-121.5032,1998,67.346,152.54798,137.464,1.102,15.299999999999999,8.201,14.198,6.907765014822087,29.139999999999997,687.3199999999999,165.31699861588288,-1.3849999999999998,13.4,23.72,542.39
LVTR1,High,2741.38982,40.47917,-121.5032,1999,71.43599999999999,14.528,96.47,1.402,17.032,9.217,15.63,4.446029970659217,24.130000000000003,482.35,122.4451455619377,2.33,11.795,0.27,248.78
LVTR1,High,2741.38982,40.47917,-121.5032,2000,73.91,15.35,60.054,0.7479999999999999,14.75,7.749,14.002,6.268472102514296,29.33,300.27000000000004,112.2851471403852,4.824999999999999,13.66,2.18,166.16
LVTR1,High,2741.38982,40.47917,-121.5032,2001,77.172,44.924,108.02400000000002,2.4819999999999998,16.822,9.652,14.34,5.555839945498791,26.45,540.12,136.75995727267383,0.9399999999999996,14.11,9.36,358.29
LVTR1,High,2741.38982,40.47917,-121.5032,2002,69.5,25.076,68.76,1.826,17.114,9.47,15.288,5.918675949906364,28.42,343.8,183.2212419488623,1.59,12.329999999999998,48.84,294.28
LVTR1,High,2741.38982,40.47917,-121.5032,2003,72.946,25.65,44.523999999999994,2.344,16.56,9.452,14.216,6.952483908647326,29.49,222.62,123.41082591511008,-1.79,7.825,6.94,135.1
LVTR1,High,2741.38982,40.47917,-121.5032,2004,73.538,8.032,61.8,1.724,15.254000000000001,8.489,13.53,5.824633464862833,26.34,309,100.84331101870916,4.91,13.445,26.39,157.48
LVTR1,High,2741.38982,40.47917,-121.5032,2005,76.152,28.48,82.4,1.956,16.024,8.99,14.068,5.996422892024877,27.26,412,155.36963451476055,1.57,13.94,0.06,307.6
