parent.pop,elevation.group,elev_m,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_month,tmean_driest_month,ann_ppt,ppt_seasonality,ppt_warmest_month,ppt_coldest_month,TimePd
BH,Low,511.4294422,12.942428571428572,13.340761904761905,5.534308933518721,29.295666666666666,8.408333333333333,20.57283333333333,503.7,102.53953258342379,6.348333333333334,199.32866666666666,Recent
CC,Low,313,14.837814814814815,12.350222222222222,6.403708829892739,31.291333333333334,9.028,25.32775,959.91533,106.96781639047829,0.9560000000000002,328.1659966666667,Recent
CP2,High,2244.132886,10.303583333333334,12.477166666666667,7.381606269882962,29.925666666666668,1.7845,16.629833333333334,464.4566633333333,128.10440720585237,7.085999999999999,258.15566333333334,Recent
CP3,High,2266.382201,9.612222222222222,12.29,7.41851504257534,29.885666666666665,1.091,15.993333333333334,447.6619966666667,125.90395100838589,7.942,245.91533,Recent
DPR,Mid,1018.591893,15.551066666666667,12.7894,6.6670170338571495,30.843666666666667,6.885666666666666,23.465969444444443,973.71399,128.5752954525181,0.10100000000000002,379.70065666666665,Recent
FR,Mid,787,15.183388888888889,15.439444444444444,6.745125667931201,33.31666666666667,6.453833333333333,22.337583333333335,528.1806666666666,129.8033085885872,1.4869999999999999,236.39933333333335,Recent
IH,Low,454.1298385,14.68735,13.068566666666667,6.942770604074815,32.05766666666667,7.877666666666666,24.659555555555556,1014.15533,115.01896428039092,0.072,339.26866333333334,Recent
LV1,High,2593.416641,9.4512,14.0344,6.0349706629129,27.461,2.566,13.760416666666666,379.20032333333336,134.62742646173425,13.875833333333333,249.69599,Recent
LV3,High,2353.550747,9.436333333333334,14.090266666666666,6.017058350356976,27.465666666666667,2.5815,13.72475,374.75499666666667,134.44741424487748,13.729333333333333,246.58966333333333,Recent
LVTR1,High,2741.38982,9.2269,14.243533333333334,5.99416595608206,27.536,2.4433333333333334,13.483833333333333,395.04232666666667,134.21269756053442,15.466666666666667,259.47032666666667,Recent
SC,Low,421.5178299,12.62404761904762,12.483428571428572,5.1404312063366495,27.605666666666668,8.740166666666667,19.931333333333335,669.0473333333333,97.62465257784505,8.153,248.96433333333334,Recent
SQ1,Mid,1921.036585,12.86275,12.32675,6.452922834622622,29.813666666666666,4.406666666666667,16.76775,357.22299666666663,140.97446612000357,5.853666666666666,185.05433,Recent
SQ2,Mid,1934.45122,13.086904761904762,12.46942857142857,6.760762452383748,29.795333333333332,4.788666666666667,16.405583333333333,322.52066666666667,146.73321514843576,5.317,187.62266666666667,Recent
SQ3,High,2373.170732,10.979595238095238,12.386904761904763,6.57515588246417,29.379,2.8645,14.156,350.08499666666665,145.4572852595194,6.506333333333333,202.56766333333334,Recent
TM2,Low,379.1526973,13.009958333333334,11.594666666666667,5.041878607608081,26.93433333333333,8.5535,19.359333333333332,1072.8226633333334,95.16568128320974,15.317333333333334,366.58999666666665,Recent
WL1,Mid,1613.837245,13.764229166666667,13.504875,6.428545296538827,30.576666666666668,5.110666666666667,19.574277777777777,541.12966,132.02128895116084,1.9866666666666668,256.4769933333333,Recent
WL2,High,2020.115818,11.904,12.412,6.840767358146275,29.69633333333333,2.9948333333333332,17.473666666666666,478.35766,135.99959977944775,4.769333333333333,257.25632666666667,Recent
WR,Mid,1158,15.366222222222222,12.533407407407408,6.559709017210272,30.064,7.339833333333333,22.185083333333335,834.1209866666667,131.89711526406083,0.39433333333333337,367.3589866666667,Recent
WV,Mid,748.8570558,14.539592592592593,15.468592592592593,6.851602188368901,33.29833333333333,5.908166666666666,21.261333333333333,561.5839966666666,131.18571793488178,4.897,245.72566333333333,Recent
YO11,High,2872.295032,8.828733333333334,13.6156,5.976470285264207,27.295,3.058,11.452666666666667,152.11033333333333,98.82378320739011,14.458666666666668,84.46666666666667,Recent
YO4,High,2157.57391,11.874809523809525,12.188,6.588730644434805,28.995,2.8726666666666665,16.536583333333333,395.0656666666667,143.16685455782658,3.962666666666667,222.45233333333334,Recent
YO7,High,2469.978665,8.909972222222223,13.4465,7.03849994504554,30.332666666666668,0.23049999999999998,13.721333333333334,416.1356633333333,133.0060809885303,7.073333333333333,241.99199666666667,Recent
YO8,High,2590.97836,8.430861111111112,13.500166666666667,7.063196767303484,30.437,-0.29750000000000004,13.387,413.67733,132.01638491588585,7.845666666666667,240.00499666666667,Recent
BH,Low,511.4294422,12.942428571428572,13.340761904761905,5.534308933518721,29.295666666666666,8.408333333333333,20.57283333333333,503.7,102.53953258342379,6.348333333333334,199.32866666666666,Historical
CC,Low,313,14.837814814814815,12.350222222222222,6.403708829892739,31.291333333333334,9.028,25.32775,959.91533,106.96781639047829,0.9560000000000002,328.1659966666667,Historical
CP2,High,2244.132886,10.303583333333334,12.477166666666667,7.381606269882962,29.925666666666668,1.7845,16.629833333333334,464.4566633333333,128.10440720585237,7.085999999999999,258.15566333333334,Historical
