parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,-158.61294444444445,34.276111111111106,-742.8683333333333,7.146444444444445,11.479777777777779,9.313111111111109,4.3333333333333,-60.12698035429287,2.003999999999998,10.10811111111111,1.9028888888889206,-1903.3553333333334,9.110448690608237,-41.32633333333334,-1083.473
CC,Low,313,-122.7012225,18.322472222222224,-742.8683333333333,8.2525,11.196972222222223,9.72473611111111,2.9444722222221884,-91.9423637147595,-0.16466666666666896,10.891,2.5522222222222553,-1472.4146700000001,6.947167643797684,-10.546999999999997,-856.4733366666668
CP2,High,2244.132886,-99.85630777777777,21.332166666666666,-524.9622622222223,-0.5969444444444445,1.3230555555555572,0.36305555555555546,1.9199999999999662,-71.24698804611148,-0.578000000000003,2.1239444444444446,-6.661555555555525,-1198.275693333333,-5.864107841155118,39.65466666666667,-758.2576866666668
CP3,High,2266.382201,-104.42130694444444,4.6399722222222195,-506.7507922222222,-1.2493333333333334,0.5568888888888921,-0.346222222222222,1.806222222222189,-67.72248024389216,-0.5523333333333369,1.4004444444444444,-7.355055555555525,-1253.055683333333,-7.199701309794278,33.78566666666667,-789.9770100000001
DPR,Mid,1018.591893,-85.82011305555554,-14.054166666666667,-735.2362777777778,6.105222222222222,8.15758333333333,7.131402777777779,2.0523611111110807,-67.0924318318664,-0.5806666666666693,8.131833333333333,0.30266666666669906,-1029.8413566666666,3.577777057701809,38.58733333333333,-633.9706866666668
FR,Mid,787,-122.24555611111111,33.949194444444444,-728.7355555555556,3.929666666666667,8.033694444444444,5.981680555555557,4.104027777777745,-47.243142498627776,2.3043333333333322,6.773944444444444,-1.1562777777777438,-1466.9466733333331,5.870671624292967,5.214333333333315,-860.0966700000001
IH,Low,454.1298385,-117.77630583333332,7.724444444444444,-742.7009444444444,6.895,10.125111111111112,8.510055555555557,3.2301111111110785,-92.70024154089731,0.23700000000000188,9.949777777777777,1.3938333333333617,-1413.31567,4.89966533048684,3.4016666666666566,-838.0123366666668
LV1,High,2593.416641,-60.782170277777766,8.240361111111113,-301.45156222222226,-3.1439722222222226,-0.855888888888888,-1.9999305555555553,2.288083333333301,-90.18034171930628,-0.42400000000000304,-0.3278888888888889,-9.118666666666634,-729.3860433333332,-10.098916813339997,86.12066666666668,-581.2506966666667
LV3,High,2353.550747,-63.447807222222224,-0.6967222222222205,-306.8880886111112,-3.1486388888888888,-0.8393333333333324,-1.993986111111111,2.30930555555552,-91.93763429998694,-0.4423333333333339,-0.24438888888888866,-9.130999999999968,-761.3736866666666,-10.577556710103309,83.78599999999999,-601.9626800000001
LVTR1,High,2741.38982,-55.90811500000001,10.549138888888884,-288.6011761111112,-3.3505,-0.9516388888888887,-2.1510694444444445,2.398861111111076,-93.580726707596,-0.24933333333333607,-0.39527777777777795,-9.324888888888857,-670.8973799999999,-10.220148455592494,98.248,-557.9347000000001
SC,Low,421.5178299,-141.33616666666666,29.824111111111108,-742.8473055555555,7.007361111111111,10.613472222222223,8.810416666666669,3.606111111111078,-110.93392780795784,0.14000000000000057,10.269722222222219,1.8075000000000365,-1696.034,4.240617520499967,-20.528666666666666,-990.6536666666668
SQ1,Mid,1921.036585,-128.7298338888889,32.02030555555555,-686.9103061111111,1.9566944444444454,3.6731388888888894,2.814916666666666,1.7164444444444111,-62.52195769398372,-0.5030000000000001,4.1563888888888885,-4.531833333333301,-1544.7580066666665,4.161715824350949,15.781999999999996,-907.3166700000002
SQ2,Mid,1934.45122,-126.98672277777777,14.449472222222226,-679.4302516666667,1.638472222222222,3.589027777777778,2.6137500000000005,1.9505555555555247,-62.54707160401745,-0.2413333333333334,3.9883333333333337,-4.706055555555523,-1523.8406733333331,5.101852677054879,8.817666666666682,-894.6653400000001
SQ3,High,2373.170732,-120.4662236111111,19.054805555555554,-611.1028113888889,-0.5395277777777778,1.4963055555555567,0.4783888888888894,2.0358333333333007,-72.07274914035258,-0.28233333333333377,2.0042777777777783,-6.830166666666633,-1445.5946833333333,5.269254991487486,13.329999999999998,-851.5623433333334
TM2,Low,379.1526973,-112.86769472222224,14.178777777777775,-742.8683333333333,8.016555555555556,10.728722222222222,9.37263888888889,2.712166666666633,-87.03036435473109,-0.3396666666666661,10.508222222222225,2.4013888888889205,-1354.4123366666665,7.083398606409318,0.7236666666666594,-790.1980033333334
WL1,Mid,1613.837245,-100.62680777777777,15.638805555555557,-677.6430852777778,2.6626111111111115,5.121027777777778,3.8918194444444447,2.4584166666666327,-77.62393858972132,-0.3550000000000004,5.676111111111111,-3.271722222222188,-1207.5216933333334,-2.9997831510416404,31.22766666666668,-758.7450200000001
WL2,High,2020.115818,-100.11008527777776,12.163944444444446,-587.4298697222222,0.822888888888889,2.4476944444444477,1.6352916666666664,1.6248055555555219,-73.25949048832263,-1.0186666666666682,3.446555555555556,-5.445999999999968,-1201.3210233333336,-5.603419680152001,34.739999999999995,-763.0366833333334
WR,Mid,1158,-72.71322527777781,3.7024166666666645,-711.6785,5.33325,6.960388888888888,6.146819444444444,1.6271388888888563,-61.410646970435664,-0.9270000000000032,7.1178333333333335,-0.6517222222221903,-872.5587033333334,3.3150775991000216,53.55833333333332,-550.7473700000002
WV,Mid,748.8570558,-122.25513916666667,3.3441111111111113,-716.3598611111112,3.358944444444444,7.265694444444444,5.3123194444444435,3.9067499999999686,-38.679969729322124,2.2293333333333294,6.348222222222222,-1.599722222222189,-1467.06167,-1.6375373018968986,-2.288333333333341,-867.8673366666668
YO11,High,2872.295032,-139.05691694444442,14.862000000000002,-549.618898611111,-4.359805555555556,-1.6622499999999985,-3.0110277777777776,2.6975555555555246,-68.30997285517356,0.41199999999999903,-0.9432222222222223,-10.363055555555523,-1668.6830033333333,-4.871677827986957,-3.174999999999997,-974.4006700000001
YO4,High,2157.57391,-112.94239027777778,14.346944444444446,-610.0461172222223,0.8444444444444446,2.416027777777778,1.6302361111111106,1.571583333333301,-90.47102870830531,-1.4803333333333342,3.047888888888889,-5.674888888888857,-1355.3086833333332,3.6137822985408263,7.697333333333333,-800.9363466666667
YO7,High,2469.978665,-108.21602944444443,11.603111111111112,-508.63570749999997,-2.413611111111111,0.5720277777777785,-0.9207916666666662,2.9856388888888556,-98.3681387052361,-0.1410000000000018,0.6753888888888889,-8.40372222222219,-1298.5923533333332,2.6813814876624917,17.671999999999997,-762.1380166666668
YO8,High,2590.97836,-109.04636277777777,26.475611111111107,-494.3975441666667,-2.931861111111111,0.1318888888888896,-1.3999861111111107,3.0637499999999687,-94.83635743856246,-0.0040000000000048885,0.15166666666666667,-8.8713333333333,-1308.5563533333334,2.5743803058493597,16.936999999999998,-764.7230166666668
