parent.pop,elevation.group,elev_m,Lat,Long,cwd,pck,ppt,tmn,tmx,TimePd
BH,Low,511.4294422,37.40985,-119.96458,75.61025000000001,0,48.91547222222222,9.018166666666668,23.566222222222223,Recent
CC,Low,313,39.58597,-121.43311,59.78838888888889,0,85.16205527777777,10.121305555555555,23.282666666666668,Recent
CP2,High,2244.132886,38.66169,-120.13065,62.898694444444445,221.42207055555554,108.41822,1.2319166666666668,13.374583333333334,Recent
CP3,High,2266.382201,38.70649,-120.08797,46.20333333333333,240.10501277777772,103.83585972222222,0.5713611111111113,12.614027777777778,Recent
DPR,Mid,1018.591893,39.22846,-120.81518,27.397833333333335,7.58311111111111,122.28224805555556,7.955583333333333,20.24375,Recent
FR,Mid,787,40.01362,-121.18498,75.47211111111112,14.187583333333325,85.94099944444444,5.767222222222222,20.070805555555555,Recent
IH,Low,454.1298385,39.09332,-120.92114,49.263305555555554,0.16738888888888892,90.12499972222223,8.746666666666666,22.198416666666667,Recent
LV1,High,2593.416641,40.47471,-121.50486,49.82197222222222,447.8401872222222,148.0282463888889,-1.3201666666666665,11.23461111111111,Recent
LV3,High,2353.550747,40.47917,-121.52311,40.867666666666665,442.7431605555555,145.41460944444444,-1.3249444444444445,11.251694444444444,Recent
LVTR1,High,2741.38982,40.47917,-121.5032,52.11775,460.7296008333335,152.933885,-1.5304444444444445,11.140944444444445,Recent
SC,Low,421.5178299,38.41167,-120.73583000000001,71.41169444444445,0.02102777777777781,66.3185,8.849194444444445,22.697277777777778,Recent
SQ1,Mid,1921.036585,36.56435,-118.7764,73.71055555555556,56.29966611111114,78.50974944444444,3.7954722222222226,15.77075,Recent
SQ2,Mid,1934.45122,36.66557,-118.83543,56.100972222222225,63.97349833333336,80.23883277777777,3.4586388888888884,15.674638888888888,Recent
SQ3,High,2373.170732,36.72109,-118.84933,60.590444444444444,133.24352194444447,86.72777638888888,1.2685277777777777,13.587416666666666,Recent
TM2,Low,379.1526973,39.59255,-121.55072,55.63283333333333,0,95.0881663888889,9.890944444444445,22.807388888888887,Recent
WL1,Mid,1613.837245,38.78608,-120.2143,57.15977777777778,66.34374805555561,107.79372000000001,4.504027777777778,17.167694444444443,Recent
WL2,High,2020.115818,38.8263,-120.25242,53.74319444444445,158.29362999999992,108.44835916666668,2.6522777777777775,14.503361111111111,Recent
WR,Mid,1158,39.34346,-120.80659,45.296416666666666,31.10325000000002,135.48771916666666,7.172027777777778,19.04072222222222,Recent
WV,Mid,748.8570558,40.74084,-123.00364,44.61311111111112,26.491555555555543,86.53599972222221,5.187805555555555,19.337055555555555,Recent
