parent.pop,elevation.group,elev_m,ann_tmean_avg,mean_diurnal_range_avg,temp_seasonality_avg,temp_ann_range_avg,tmean_wettest_month_avg,tmean_driest_month_avg,ann_ppt_avg,ppt_seasonality_avg,ppt_warmest_month_avg,ppt_coldest_month_avg,ann_tmean_sem,mean_diurnal_range_sem,temp_seasonality_sem,temp_ann_range_sem,tmean_wettest_month_sem,tmean_driest_month_sem,ann_ppt_sem,ppt_seasonality_sem,ppt_warmest_month_sem,ppt_coldest_month_sem
BH,Low,511.4294422,12.874642871745996,13.486904789010683,5.538436470465138,29.419000019629795,8.422333386043707,20.329833328227203,498.0613338910664,99.66380277098668,7.428000024457773,195.145666885376,0.14529880012778915,0.14995536054761965,0.13212183004856162,0.3756601491904943,0.2352186367715453,0.85302746161296406,35.02600712239755,5.41981033378124,2.3631259381707035,14.724629727886583
CC,Low,313,13.328270836671193,11.86620835463206,5.066017007532277,27.27400000890096,8.926333318154017,19.9206667025884,959.6769980077942,93.43662784675767,14.914999947945278,325.23466466267905,0.14252148109429807,0.1397674007161247,0.1119182144942925,0.3678979214596799,0.2606395738274313,0.8363656978955876,59.565779683008294,3.113056383581803,3.4665956088214025,19.282972137387414
CP2,High,2244.132886,10.146277775305013,12.711555522142184,7.409562194368891,30.190666715304058,1.443166690071424,16.413333376248676,462.24133531786504,128.44861092284577,7.64366667419672,255.93600158691407,0.14276188933758616,0.10878530117628965,0.12663149991694164,0.29447243305967774,0.6127291701651186,0.33167143364396634,38.548396784954235,5.374248196282798,1.7383172910082985,24.514700583385448
CP3,High,2266.382201,9.460333322185194,12.490666639742752,7.448021599341844,30.1333331823349,0.7540000287815929,15.786833318074544,445.6380020196239,126.36027777359926,8.453666813174884,244.25633455912273,0.1421062457955796,0.1069165981982211,0.12727335215176144,0.2998874823239729,0.6069473917455739,0.34170661571126376,36.98905678145305,5.489991827390335,1.8672821515535707,23.457589148065825
DPR,Mid,1018.591893,15.449000003486871,12.950333339075247,6.601438281184045,30.827333155274392,6.86333332657814,23.328469409412808,964.1893339154,125.84593619507889,0.4506666544203957,367.96833521525065,0.14701003785422337,0.1107964838615767,0.09989734130065499,0.27910811531066104,0.4306400754857702,0.27080353396274487,64.71064583388613,4.418350172210448,0.3723901947532066,30.527430293132465
FR,Mid,787,14.878111099893296,15.822666633294688,6.777985156544702,33.798666620254515,5.97666667252779,21.96797216468387,505.67399929172046,128.36582989998314,1.9923333171134194,222.12166595458984,0.11196227546267615,0.11584051849758163,0.0902588463524305,0.3048850102797762,0.639577836868292,0.2410120695533206,35.27879775264194,5.63154654765745,0.5400344120219479,22.616808713197663
IH,Low,454.1298385,14.637283320849141,13.19009996647636,6.894782356489325,32.06700001507998,7.748999965190888,24.523305540614658,1009.9856652752807,113.19413764167811,0.12399999847014745,333.9836654663086,0.13819310817247685,0.12028694031731446,0.085074101759392,0.2860296027502075,0.2778461232848743,0.21998874176014127,61.39099758912711,3.4456541326958297,0.0688436494030919,19.590113999082348
LV1,High,2593.416641,9.27369998190552,14.156999939431747,6.0028082588648655,27.51066665649414,2.9239999963281056,13.48516666740179,377.7613335679596,134.5758710275601,14.116333413744966,245.67999992370605,0.16257894778407186,0.13062564269073068,0.13312951140227866,0.3323195667095311,0.5894744117819485,0.3311843114899845,32.48538232007912,5.793334066368712,3.2931955658632828,23.219506796236598
LV3,High,2353.550747,9.244766675215214,14.076333322164913,5.984166910936025,27.391666873296103,2.9135000029268365,13.444250021874904,375.50099976739534,134.70588881237165,14.132999892657002,244.39799969991049,0.16382175538965027,0.1307282540353489,0.13266910337796203,0.3317609200637383,0.589326568683722,0.33036207618630364,32.36904525877395,5.804313933074871,3.3084723313325695,23.199208755744138
LVTR1,High,2741.38982,9.06109998555233,14.325133325333397,5.960429617498352,27.543333339691163,2.8041666636243465,13.230083303153515,394.02366893701253,134.0997266352529,15.762999954695504,255.59433466593424,0.1516778615409647,0.12800470164837352,0.13055934208698164,0.33316605774438607,0.5868821856706371,0.32962919993796647,33.91212752276088,5.783899527092654,3.5513647381577638,24.23773395915115
SC,Low,421.5178299,12.610809512720222,12.577809496578716,5.173592180570642,27.729666685064633,8.618999995787938,20.01733335852623,662.0636670673887,94.2688709195642,9.413000000019869,240.55766639709472,0.13133388234247512,0.15693839875219173,0.12387167996946868,0.3832362287888631,0.29663703547772197,0.6813966678084872,42.135100078158715,3.9994835396413375,2.616997694284961,12.840241106840857
SQ1,Mid,1921.036585,12.685562481257755,12.486375022384648,6.454742730333665,30.011000002423923,3.679333335161209,16.454916582504907,362.53399900800235,138.91717898286143,5.33399995068709,182.84466590881348,0.16973458446964174,0.09977840875079577,0.09979048134934733,0.31060209687173057,0.5792422520567788,0.7174110017602539,30.223028407621452,5.8640001959182815,1.2632776598976092,19.999899245747926
SQ2,Mid,1934.45122,12.922357127203473,12.581857137470728,6.774160869144755,29.954666726787885,4.101499976714452,15.938916569451491,329.539666986155,144.18061899967938,4.9163332962741455,186.36833356221516,0.160418982896557,0.0998761115211758,0.11591038556141044,0.3157398348763399,0.6520474313408878,0.8313572112265313,30.71651671714521,5.740406674881049,1.1983887943247873,20.50291752753965
SQ3,High,2373.170732,10.827785713598132,12.435761905319634,6.594529297566652,29.514000089963275,2.2090000127752623,13.723999998966853,358.8946680827687,142.7963417488525,6.193000020210942,201.90700149536133,0.16378055731415142,0.0992663390875724,0.11964009056432011,0.34004448247907965,0.6317000646356976,0.7935643158873252,33.78934937177799,5.924865262891611,1.4802357843334626,22.582060787943835
TM2,Low,379.1526973,12.934791666766008,11.717416662971178,5.063193384426537,27.036999948819478,8.456166670719782,19.568166653315227,1072.6636677399279,93.30212516722094,16.999333418905735,363.76133422851564,0.14574460917900556,0.13517984466725333,0.11233828290355201,0.3676380503985686,0.2597781611817684,0.8314398931353191,67.95284015839844,3.128953026128631,3.8560908283742092,22.01687454581067
WL1,Mid,1613.837245,13.645249992166645,13.790249960512543,6.422724638531482,30.841333212455115,4.7876666456460955,19.510694372653962,531.8603316240634,131.4050001250907,1.7976666854694485,248.71899871826173,0.13586582343578565,0.11987363319311822,0.10841253834500486,0.29900437807119434,0.5900940195008498,0.40528670354707397,38.55273155460939,5.127113064135996,0.4173272106932021,23.325283022145943
WL2,High,2020.115818,11.752119055062177,12.642047623598149,6.8510625384820845,29.94200013081233,2.6574999642868837,17.297666676839192,468.88533148448914,135.228559589468,4.778666695083181,248.68666458129883,0.13539082680020564,0.10738240295441068,0.12159412443943425,0.3026915261030312,0.6012418478162272,0.3609861655127084,36.99774345610993,5.749541292695629,0.9798237964296949,24.129395890013274
WR,Mid,1158,15.237296296600942,12.700444490600516,6.537171387163822,30.205333318312963,7.034999984502792,22.102166636784872,838.7553342208887,131.10943849249844,0.9136666643122832,366.04333508809407,0.1604713726824585,0.11301267873041099,0.10159712006014207,0.291356605133077,0.7231212573474416,0.3325141833288308,59.831554314804066,5.16612627334287,0.5530863166605704,34.798168072843374
WV,Mid,748.8570558,14.453166648383355,15.601962920975078,6.821351340462268,33.41166650541127,5.688333321673174,21.381499993801118,554.4526679145794,128.5296317588529,5.026999945193529,237.09333419799805,0.1219949583526686,0.13078495984840335,0.09879321055794266,0.33736813513702185,0.6538543220749193,0.49315338496117517,36.65841478283205,5.4130845705147115,1.3970064045811104,22.5789298417104
YO11,High,2872.295032,8.715699996625384,13.924599989503623,5.969286978700847,27.467999919255575,2.8131666745990516,11.160999944806099,152.66599952292938,100.52695153348834,14.665333259105683,86.40199955304463,0.15513930630980188,0.19118508687160832,0.1593010585517308,0.4182496217881657,0.849315868929726,0.7236193539203076,13.557200003917703,6.490337718953015,2.2494497909193463,9.762051868339249
YO4,High,2157.57391,11.711071435854372,12.384142857018325,6.61470496480794,29.29466652472814,2.582000042001406,16.309083316061233,399.03300153904905,142.33890772733918,3.313000034727156,222.80366694132488,0.138271046042144,0.07579307705524799,0.12477301928722247,0.29611031114213804,0.5763784925078184,0.593474762897786,34.98892346565807,5.42539581711908,0.9847370044433676,21.710846997925493
YO7,High,2469.978665,8.766388913720018,13.656222273119623,7.061107335698429,30.65366664727529,-0.08899995783964795,13.489750096201897,419.19366699960085,133.87611832362592,6.735666619737943,244.49933293660482,0.13046516646288445,0.1232890761161535,0.13320842862570564,0.31075381476054176,0.5697613704347783,0.6522999233347554,39.63625815891266,5.197157333874853,1.5639688272538619,24.817246943571675
YO8,High,2590.97836,8.293166616590073,13.707222117918233,7.098368430068783,30.779666582743328,-0.5856666684150696,13.156166564238568,417.46499972511083,133.10344986070555,7.643666576966643,243.25499839782714,0.13365924308967614,0.13470463031471555,0.13083977529706822,0.31092608957575985,0.570960407605502,0.6723488908540238,39.40824196396842,5.2961540422204605,1.5486505838991986,24.83100791606801
