parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_quarter_dist,tmean_driest_quarter_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_quarter_dist,ppt_coldest_quarter_dist
BH,Low,511.4294422,-50.91961111111112,19.43944444444444,-137.22083333333333,5.119777777777778,9.443111111111111,7.281444444444439,4.3233333333333,-59.79392762226587,2.7439999999999998,9.249777777777778,0.4912222222222198,-611.0353333333334,19.610168866819237,33.85366666666667,-458.1329999999999
CC,Low,313,-15.007889166666672,3.485805555555558,-137.22083333333333,6.225833333333333,9.160305555555556,7.69306944444444,2.9344722222221886,-91.6093109827325,0.575333333333333,10.032666666666668,1.1405555555555544,-180.09467000000006,17.446887820008683,64.63300000000001,-231.13333666666665
CP2,High,2244.132886,7.837025555555556,6.4955,80.6852377777777,-2.623611111111111,-0.7136111111111099,-1.6686111111111153,1.9099999999999664,-70.91393531408448,0.16199999999999903,1.2656111111111115,-8.073222222222226,94.0443066666669,4.635612335055882,114.83466666666668,-132.91768666666667
CP3,High,2266.382201,3.2720263888888894,-10.196694444444447,98.89670777777783,-3.276,-1.479777777777775,-2.3778888888888927,1.7962222222221893,-67.38942751186516,0.1876666666666651,0.5421111111111113,-8.766722222222226,39.2643166666669,3.300018866416721,108.96566666666668,-164.63700999999992
DPR,Mid,1018.591893,21.87322027777779,-28.890833333333333,-129.58877777777778,4.078555555555556,6.120916666666663,5.099736111111108,2.042361111111081,-66.7593790998394,0.15933333333333266,7.2735,-1.1090000000000018,262.47864333333337,14.077497233912808,113.76733333333334,-8.630686666666634
FR,Mid,787,-14.552222777777786,19.112527777777778,-123.08805555555556,1.9030000000000005,5.997027777777777,3.9500138888888863,4.094027777777745,-46.91008976660078,3.0443333333333342,5.915611111111112,-2.5679444444444446,-174.6266733333332,16.370391800503967,80.39433333333332,-234.75666999999999
IH,Low,454.1298385,-10.082972499999997,-7.112222222222222,-137.05344444444444,4.868333333333333,8.088444444444445,6.478388888888885,3.2201111111110787,-92.36718880887031,0.9770000000000039,9.091444444444445,-0.01783333333333914,-120.99567000000002,15.39938550669784,78.58166666666666,-212.67233666666664
LV1,High,2593.416641,46.91116305555556,-6.596305555555553,304.1959377777778,-5.170638888888889,-2.892555555555555,-4.031597222222226,2.278083333333301,-89.84728898727928,0.31599999999999895,-1.1862222222222218,-10.530333333333335,562.9339566666667,0.4008033628710024,161.30066666666667,44.08930333333342
LV3,High,2353.550747,44.245526111111104,-15.533388888888886,298.7594113888888,-5.175305555555555,-2.8759999999999994,-4.025652777777782,2.29930555555552,-91.60458156795994,0.2976666666666681,-1.1027222222222217,-10.542666666666669,530.9463133333334,-0.07783653389230949,158.96599999999998,23.377320000000054
LVTR1,High,2741.38982,51.78521833333332,-4.2875277777777825,317.04632388888876,-5.377166666666666,-2.9883055555555558,-4.182736111111115,2.3888611111110762,-93.247673975569,0.4906666666666659,-1.253611111111111,-10.736555555555558,621.42262,0.279571720618506,173.428,67.40530000000001
SC,Low,421.5178299,-33.64283333333333,14.987444444444442,-137.19980555555554,4.9806944444444445,8.576805555555556,6.778749999999997,3.596111111111078,-110.60087507593084,0.8800000000000026,9.411388888888887,0.3958333333333357,-403.71400000000006,14.740337696710966,54.65133333333334,-365.3136666666666
SQ1,Mid,1921.036585,-21.036500555555563,17.183638888888886,-81.26280611111112,-0.06997222222222099,1.6364722222222223,0.7832499999999953,1.7064444444444113,-62.18890496195672,0.23700000000000188,3.298055555555556,-5.943500000000002,-252.43800666666664,14.661436000561949,90.962,-281.97666999999996
SQ2,Mid,1934.45122,-19.293389444444443,-0.3871944444444395,-73.78275166666668,-0.3881944444444443,1.5523611111111109,0.5820833333333297,1.940555555555525,-62.21401887199045,0.4986666666666686,3.130000000000001,-6.117722222222223,-231.5206733333332,15.601572853265878,83.99766666666669,-269.32534
SQ3,High,2373.170732,-12.772890277777776,4.2181388888888875,-5.455311388888873,-2.5661944444444442,-0.5403611111111104,-1.5532777777777813,2.025833333333301,-71.73969640832559,0.4576666666666682,1.145944444444445,-8.241833333333334,-153.27468333333331,15.768975167698486,88.51,-226.22234333333324
TM2,Low,379.1526973,-5.1743613888889115,-0.6578888888888912,-137.22083333333333,5.989888888888889,8.692055555555555,7.34097222222222,2.702166666666633,-86.69731162270409,0.4003333333333359,9.649888888888892,0.9897222222222197,-62.0923366666666,17.583118782620318,75.90366666666667,-164.85800333333327
WL1,Mid,1613.837245,7.0665255555555575,0.8021388888888907,-71.99558527777782,0.6359444444444451,3.084361111111111,1.860152777777774,2.448416666666633,-77.29088585769432,0.38500000000000156,4.817777777777779,-4.683388888888889,84.79830666666658,7.499937025169359,106.40766666666669,-133.40501999999992
WL2,High,2020.115818,7.583248055555572,-2.6727222222222196,18.217630277777857,-1.2037777777777774,0.41102777777778066,-0.39637500000000436,1.614805555555522,-72.92643775629563,-0.2786666666666662,2.588222222222223,-6.857666666666669,90.9989766666663,4.896300496058998,109.92,-137.69668333333323
WR,Mid,1158,34.98010805555552,-11.134250000000002,-106.031,3.306583333333333,4.923722222222221,4.115152777777773,1.6171388888888565,-61.077594238408665,-0.18700000000000117,6.259500000000001,-2.063388888888891,419.76129666666657,13.814797775311021,128.73833333333332,74.59262999999999
WV,Mid,748.8570558,-14.561805833333338,-11.492555555555555,-110.71236111111111,1.3322777777777777,5.229027777777777,3.2806527777777728,3.896749999999969,-38.346916997295125,2.9693333333333314,5.489888888888889,-3.01138888888889,-174.74167,8.862182874314101,72.89166666666667,-242.52733666666666
YO11,High,2872.295032,-31.36358361111111,0.025333333333335872,56.028601388888916,-6.386472222222222,-3.6989166666666655,-5.042694444444448,2.687555555555525,-67.97692012314656,1.152000000000001,-1.8015555555555554,-11.774722222222223,-376.3630033333334,5.628042348224042,72.00500000000001,-349.06066999999996
