parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
BH,Low,511.4294422,37.40985,-119.96458,1965,68.605,0,52.29416666666666,7.135,22.26,14.6975,15.125,621.9818215700811,32.599999999999994,8.058333333333334,17.674999999999997,627.5300000000001,128.59258636903584,113.07000000000001,332.98
BH,Low,511.4294422,37.40985,-119.96458,1966,77.46833333333333,0,35.03916666666667,7.399166666666667,23.579166666666666,15.489166666666666,16.18,704.849043584812,36.17,13.911666666666667,18.89,420.47,172.1246153567976,19.4,167.01000000000002
BH,Low,511.4294422,37.40985,-119.96458,1967,67.335,0,65.30333333333333,7.694999999999999,22.855833333333333,15.275416666666667,15.160833333333333,764.99332909549355,36.06,14.048333333333334,17.721666666666664,783.6400000000002,109.14671051275174,209.70000000000002,294.13
BH,Low,511.4294422,37.40985,-119.96458,1968,79.725,0,33.920833333333334,7.494166666666667,23.6875,15.590833333333332,16.193333333333335,676.8992752159503,37.199999999999996,7.593333333333334,19.34,407.04999999999995,86.44562802851492,62.1,200.19
BH,Low,511.4294422,37.40985,-119.96458,1969,69.78166666666667,0,82.38666666666666,7.3975,22.285833333333333,14.841666666666667,14.888333333333334,733.9186025381256,35.43,6.566666666666666,20.348333333333333,988.64,120.8798006749798,79.38999999999999,678.8699999999999
BH,Low,511.4294422,37.40985,-119.96458,1970,73.83,0,42.2375,7.513333333333334,24.045,15.779166666666667,16.531666666666666,676.4581164664472,34.760000000000005,9.056666666666667,19.06833333333333,506.84999999999997,128.69999037211824,115.63000000000001,317.79999999999995
BH,Low,511.4294422,37.40985,-119.96458,1971,72.62416666666667,0,37.48416666666666,6.9075,22.485833333333332,14.696666666666665,15.578333333333333,704.1807081260957,34.76,12.168333333333331,19.446666666666665,449.81000000000006,127.97790210272137,23.009999999999998,184.41
BH,Low,511.4294422,37.40985,-119.96458,1972,85.185,0,27.419166666666666,7.49,23.100833333333334,15.295416666666666,15.610833333333332,747.5701383431687,37.21,6.263333333333333,20.833333333333332,329.03000000000003,141.92130601574644,1.47,200.79000000000002
BH,Low,511.4294422,37.40985,-119.96458,1973,75.2775,0,61.5125,7.659166666666668,22.34,14.999583333333334,14.680833333333332,762.1915608157755,35.55,6.701666666666667,19.595000000000002,738.1500000000001,109.67278361230252,11.649999999999999,388.8
BH,Low,511.4294422,37.40985,-119.96458,1974,69.45166666666667,0,52.22416666666667,7.956666666666666,23.255,15.605833333333333,15.298333333333334,717.8562097514988,33.76,7.693333333333334,20.275000000000002,626.6899999999999,95.79702048853876,74.21,242.14
BH,Low,511.4294422,37.40985,-119.96458,1975,68.12583333333333,0,53.1225,6.7283333333333335,21.935,14.331666666666667,15.206666666666667,721.0585757738199,33.51,6.631666666666667,17.141666666666666,637.4699999999999,106.02838127966083,79.66000000000001,299.02
BH,Low,511.4294422,37.40985,-119.96458,1976,82.94749999999999,0,25.515833333333333,6.715833333333333,22.580833333333334,14.648333333333333,15.865,668.0127357704455,35.31,12.375,17.535,306.19000000000005,98.40355354135002,40.83,110.00999999999999
BH,Low,511.4294422,37.40985,-119.96458,1977,87.6575,0,18.645833333333332,7.498333333333333,23.338333333333335,15.418333333333333,15.84,708.8885453278037,35.43,11.245,20.625,223.74999999999997,91.94472323671478,2.1399999999999997,89.78
BH,Low,511.4294422,37.40985,-119.96458,1978,70.13333333333334,0,85.28416666666666,8.7125,23.14,15.92625,14.4275,590.0236946320654,30.259999999999998,9.495000000000001,16.086666666666666,1023.41,105.61778544084571,186.35999999999999,561.21
BH,Low,511.4294422,37.40985,-119.96458,1979,72.92083333333333,0,52.90833333333333,7.634166666666667,22.6825,15.158333333333333,15.048333333333334,740.7178438801271,34.89,6.345,19.911666666666665,634.9,111.38107839683713,18.57,355.78999999999996
BH,Low,511.4294422,37.40985,-119.96458,1980,71.16833333333334,0,56.69333333333333,7.883333333333333,23.035833333333333,15.459583333333335,15.1525,602.4389994896252,31.989999999999995,9.481666666666667,19.526666666666667,680.3200000000002,130.53004854180185,38.49,464.65
BH,Low,511.4294422,37.40985,-119.96458,1981,79.31,0,35.76916666666667,8.53,24.173333333333332,16.351666666666667,15.643333333333333,658.5057925241651,32.94,9.716666666666667,20.738333333333333,429.22999999999996,119.45056090940042,32.31,194.65
BH,Low,511.4294422,37.40985,-119.96458,1982,65.56333333333333,0.585,82.08666666666666,8.154166666666667,22,15.077083333333334,13.845833333333333,637.174389513197,33.06,8.104999999999999,19.008333333333336,985.04,86.57657085341961,167.33,393.69
BH,Low,511.4294422,37.40985,-119.96458,1983,65.0325,0,92.41083333333334,8.118333333333334,21.575,14.846666666666668,13.456666666666667,675.0735089042099,31.24,7.771666666666667,19.471666666666668,1108.9300000000003,98.55575014206039,108.27000000000001,523.57
BH,Low,511.4294422,37.40985,-119.96458,1984,74.92333333333333,0,46.499166666666675,8.321666666666667,23.236666666666665,15.779166666666667,14.915,714.9091434114781,34.26,16.176666666666666,18.503333333333334,557.9900000000001,138.13023438579282,23.599999999999998,236.78
BH,Low,511.4294422,37.40985,-119.96458,1985,75.56666666666666,0,36.70583333333333,7.6375,22.2425,14.940000000000001,14.605,715.7455108931082,34.51,11.738333333333335,18.605,440.47,117.30255165315427,115.58,134.39000000000001
BH,Low,511.4294422,37.40985,-119.96458,1986,73.5325,0,61.47083333333333,8.245,22.719166666666666,15.482083333333334,14.474166666666667,606.3549612357034,33.32,9.143333333333333,18.91,737.65,140.54800320493942,146.6,399.32
BH,Low,511.4294422,37.40985,-119.96458,1987,82.15333333333334,0,30.538333333333334,8.194166666666668,23.572499999999998,15.883333333333333,15.378333333333332,649.832087869045,33.08,7.706666666666666,20.87833333333333,366.46,125.85342568908735,10.29,193.16
BH,Low,511.4294422,37.40985,-119.96458,1988,78.00083333333333,0,29.920833333333334,7.985833333333333,23.58416666666667,15.785,15.598333333333333,681.3431254114586,35.18,8.1,17.093333333333334,359.04999999999995,113.71645493993661,91.46,172.51
BH,Low,511.4294422,37.40985,-119.96458,1989,75.04666666666667,0,45.829166666666666,7.506666666666667,22.733333333333334,15.120000000000001,15.226666666666667,675.5517610207096,35.85,13.136666666666665,17.51,549.9499999999999,93.17535174358329,70.84,175.2
BH,Low,511.4294422,37.40985,-119.96458,1990,75.26916666666666,0,28.093333333333334,7.825833333333334,23.451666666666668,15.63875,15.625833333333334,685.9106132129622,34.56,7.041666666666667,19.363333333333333,337.11999999999995,110.71381000550127,41.550000000000004,163.98
BH,Low,511.4294422,37.40985,-119.96458,1991,76.08083333333333,0,44.5825,7.549166666666667,22.96333333333333,15.25625,15.414166666666667,715.5723114784037,36.77,11.42,19.72,534.99,196.61667952458373,8.33,95.03
BH,Low,511.4294422,37.40985,-119.96458,1992,76.12416666666667,0,38.64416666666667,9.319166666666668,23.858333333333334,16.58875,14.539166666666667,676.5415436078355,34.19,8.238333333333332,21.616666666666664,463.7299999999999,127.19160957575208,2.19,271.23
BH,Low,511.4294422,37.40985,-119.96458,1993,70.97416666666666,0,63.845833333333324,8.08,22.708333333333332,15.394166666666667,14.628333333333334,649.5201317242996,32.470000000000006,7.2250000000000005,19.736666666666665,766.15,139.8032630332342,12.81,591.3199999999999
CC,Low,313,39.58597,-121.43311,1964,59.94333333333333,0,53.2125,8.443333333333333,23.073333333333334,15.758333333333335,14.629999999999999,688.362197648531,32.97,12.49,14.199999999999998,638.5500000000001,130.66803092600233,38.910000000000004,208.84
