rowid,parent.pop,phylogroup,Lat,Long,elev_m,year,month,aet,cwd,pck,pet,ppt,tmn,tmx
1,BH,4,37.40985,-119.96458,511.4294422,1899,oct,0,85.1,0,85.1,123.95,7.13,21.9
1,BH,4,37.40985,-119.96458,511.4294422,1899,sep,0,134.8,0,134.8,0,11.9,33.94
1,BH,4,37.40985,-119.96458,511.4294422,1900,apr,51.67,62.53,0,114.2,52.51,3.92,18.64
1,BH,4,37.40985,-119.96458,511.4294422,1900,aug,34.81,135.69,0,170.5,0,12.73,31.38
1,BH,4,37.40985,-119.96458,511.4294422,1900,dec,3.43,29.47,0,32.9,36.56,2.45,13.73
1,BH,4,37.40985,-119.96458,511.4294422,1900,feb,6.32,41.18,0,47.5,21.89,1.9,15.02
1,BH,4,37.40985,-119.96458,511.4294422,1900,jan,5.93,29.07,0,35,88.41,3.49,13.08
1,BH,4,37.40985,-119.96458,511.4294422,1900,jul,77.27,126.63,0,203.9,0,14.57,36.4
1,BH,4,37.40985,-119.96458,511.4294422,1900,jun,90.55,97.65,0,188.2,0,12.5,31.76
1,BH,4,37.40985,-119.96458,511.4294422,1900,mar,25.76,59.84,0,85.6,66.22,5.01,18.84
1,BH,4,37.40985,-119.96458,511.4294422,1900,may,149.89,12.31,0,162.2,32.03,8.13,25.64
1,BH,4,37.40985,-119.96458,511.4294422,1900,nov,6.3,41.9,0,48.2,128.85,6.01,18.39
1,BH,4,37.40985,-119.96458,511.4294422,1900,oct,3.62,81.58,0,85.2,62.04,8.22,20.9
1,BH,4,37.40985,-119.96458,511.4294422,1900,sep,8.15,116.95,0,125.1,5.52,10.77,26.05
1,BH,4,37.40985,-119.96458,511.4294422,1901,apr,67.57,48.33,0,115.9,67.66,4.61,19.25
1,BH,4,37.40985,-119.96458,511.4294422,1901,aug,38.63,140.97,0,179.6,0,15.73,35.44
1,BH,4,37.40985,-119.96458,511.4294422,1901,dec,2.92,29.98,0,32.9,35.33,1.26,14.92
1,BH,4,37.40985,-119.96458,511.4294422,1901,feb,10.49,36.81,0,47.3,143.39,3.41,13.24
1,BH,4,37.40985,-119.96458,511.4294422,1901,jan,6.22,27.48,0,33.7,147.36,1.66,12.11
1,BH,4,37.40985,-119.96458,511.4294422,1901,jul,77.67,124.73,0,202.4,0,14.6,35.29
1,BH,4,37.40985,-119.96458,511.4294422,1901,jun,88.2,94.8,0,183,0,11.12,29.64
1,BH,4,37.40985,-119.96458,511.4294422,1901,mar,25.13,58.37,0,83.5,26.95,4.5,17.28
1,BH,4,37.40985,-119.96458,511.4294422,1901,may,146.94,12.06,0,159,31.9,8.33,23.4
1,BH,4,37.40985,-119.96458,511.4294422,1901,nov,4.79,44.01,0,48.8,60.33,5.55,19.78
1,BH,4,37.40985,-119.96458,511.4294422,1901,oct,5.42,85.78,0,91.2,34.48,9.83,26.2
1,BH,4,37.40985,-119.96458,511.4294422,1901,sep,14.46,113.84,0,128.3,22.19,10.18,29.5
1,BH,4,37.40985,-119.96458,511.4294422,1902,apr,55.25,60.55,0,115.8,38.69,4.64,19.11
1,BH,4,37.40985,-119.96458,511.4294422,1902,aug,44.59,131.01,0,175.6,0,14.14,33.88
1,BH,4,37.40985,-119.96458,511.4294422,1902,dec,2.92,29.28,0,32.2,61.92,0.86,13.8
1,BH,4,37.40985,-119.96458,511.4294422,1902,feb,9.61,38.69,0,48.3,187.63,3.12,15.03
1,BH,4,37.40985,-119.96458,511.4294422,1902,jan,4.38,28.72,0,33.1,26.29,0.4,12.29
1,BH,4,37.40985,-119.96458,511.4294422,1902,jul,81.33,121.17,0,202.5,0,14.97,35.05
1,BH,4,37.40985,-119.96458,511.4294422,1902,jun,93.15,97.45,0,190.6,0,12.42,33.53
1,BH,4,37.40985,-119.96458,511.4294422,1902,mar,33.74,44.76,0,78.5,82.08,1.98,14.98
1,BH,4,37.40985,-119.96458,511.4294422,1902,may,86.04,69.46,0,155.5,16.31,6.48,23.02
1,BH,4,37.40985,-119.96458,511.4294422,1902,nov,3.7,41.3,0,45,68.83,2.44,16.28
1,BH,4,37.40985,-119.96458,511.4294422,1902,oct,3.01,84.99,0,88,41.29,7.1,25.18
1,BH,4,37.40985,-119.96458,511.4294422,1902,sep,13.58,121.52,0,135.1,0,12.86,33.26
1,BH,4,37.40985,-119.96458,511.4294422,1903,apr,46,69,0,115,14.02,3.99,19.2
1,BH,4,37.40985,-119.96458,511.4294422,1903,aug,35.33,141.57,0,176.9,0,13.47,35.55
1,BH,4,37.40985,-119.96458,511.4294422,1903,dec,2.92,29.78,0,32.7,30.48,0.67,15.17
1,BH,4,37.40985,-119.96458,511.4294422,1903,feb,5.71,37.49,0,43.2,39.11,-1.74,12.24
1,BH,4,37.40985,-119.96458,511.4294422,1903,jan,5.68,28.02,0,33.7,141.94,1.01,12.84
1,BH,4,37.40985,-119.96458,511.4294422,1903,jul,73.85,123.75,0,197.6,0,13.03,33.56
1,BH,4,37.40985,-119.96458,511.4294422,1903,jun,91.29,99.01,0,190.3,0,12.99,32.75
1,BH,4,37.40985,-119.96458,511.4294422,1903,mar,40.27,40.23,0,80.5,174.43,3.37,15.53
1,BH,4,37.40985,-119.96458,511.4294422,1903,may,90.41,73.39,0,163.8,0,7.97,26.8
1,BH,4,37.40985,-119.96458,511.4294422,1903,nov,2.13,45.97,0,48.1,98.35,4.92,19.28
1,BH,4,37.40985,-119.96458,511.4294422,1903,oct,1.48,89.62,0,91.1,10.16,7.64,28.29
1,BH,4,37.40985,-119.96458,511.4294422,1903,sep,7.75,123.75,0,131.5,0,10.82,31.88
1,BH,4,37.40985,-119.96458,511.4294422,1904,apr,78.13,39.07,0,117.2,47.58,4.88,19.92
1,BH,4,37.40985,-119.96458,511.4294422,1904,aug,40.01,139.79,0,179.8,0.86,15.31,36.1
1,BH,4,37.40985,-119.96458,511.4294422,1904,dec,3.29,29.41,0,32.7,59.17,0.99,14.69
1,BH,4,37.40985,-119.96458,511.4294422,1904,feb,9.66,38.14,0,47.8,207.78,2.54,14.86
1,BH,4,37.40985,-119.96458,511.4294422,1904,jan,4.36,28.84,0,33.2,40.72,-1.48,14.3
1,BH,4,37.40985,-119.96458,511.4294422,1904,jul,75.51,124.59,0,200.1,0,13.34,34.99
1,BH,4,37.40985,-119.96458,511.4294422,1904,jun,91.06,98.34,0,189.4,0,11.56,33.51
1,BH,4,37.40985,-119.96458,511.4294422,1904,mar,40.47,40.23,0,80.7,217.45,4.1,15.03
1,BH,4,37.40985,-119.96458,511.4294422,1904,may,91.76,74.44,0,166.2,3.3,8.99,27.37
1,BH,4,37.40985,-119.96458,511.4294422,1904,nov,5.07,43.53,0,48.6,22.58,4.31,20.77
