parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,-9.534666666666666,4.096761904761912,0.10614285714285732,-2.792857142857141,-1.3433571428571423,-2.8989999999999974,1.0500146600214935,-2.968,-4.742333333333335,-0.9006666666666661,-128.226,-14.424660380109287,-6.327000000000001,-41.37366666666662
CC,Low,313,-43.524851481481505,6.304370370370371,-2.2683333333333344,-4.163925925925923,-3.216129629629627,-1.8955925925925925,0.18992199064847703,-4.9326666666666625,-5.2605,-5.700083333333332,-576.1736633333333,-19.209826753261055,-0.9460000000000002,-168.9636633333333
CP2,High,2244.132886,-16.76116611111111,-20.46022222222222,2.350111111111111,0.31083333333333485,1.3304722222222196,-2.0392777777777766,-0.8568314370714569,-3.6503333333333323,1.991333333333333,2.895166666666668,-100.56699666666668,-40.29203540785086,-6.878333333333334,-105.51866333333331
CP3,High,2266.382201,-13.927777222222218,-3.106722222222217,2.937,1.102277777777779,2.0196388888888883,-1.8347222222222204,-0.8952975059956101,-3.6050000000000004,2.683,3.5296666666666674,-83.5666633333334,-38.192924331204495,-7.711,-93.40566333333337
DPR,Mid,1018.591893,-35.433932333333345,24.31696666666667,-2.7700666666666667,-5.084099999999996,-3.927083333333334,-2.3140333333333345,-0.07635154601770378,-4.413,-3.145833333333334,-3.8489694444444424,-600.2726566666666,-40.91508941530854,-0.09100000000000001,-223.85932333333338
FR,Mid,787,3.336629629629634,-34.99399999999999,-1.0781481481481485,-6.0774074074074065,-3.5777777777777775,-4.999259259259258,-0.1794115929209168,-7.0006666666666675,-2.783833333333334,-2.8416666666666615,-154.42033333333336,-41.15437028445801,-1.4176666666666666,-76.279
IH,Low,454.1298385,-38.77386633333333,14.21626666666667,-1.780100000000001,-4.395433333333333,-3.0877666666666688,-2.615333333333332,-0.35409987360637807,-5.671333333333337,-4.216833333333334,-5.043638888888889,-633.6719966666668,-27.67913771697485,-0.06199999999999999,-182.98866333333334
LV1,High,2593.416641,-12.151865333333333,-10.846133333333334,3.939133333333333,0.421400000000002,2.1802666666666664,-3.5177333333333323,0.5002226416125675,-1.1380000000000017,1.1648333333333332,5.931333333333335,0.7240066666666394,-46.271063671274405,-13.7635,-83.29365999999999
LV3,High,2353.550747,-11.249333333333325,1.0942000000000007,3.9821999999999997,0.4089333333333336,2.1955666666666662,-3.5732666666666653,0.5178794195926493,-1.1460000000000008,1.1518333333333333,5.967833333333335,5.236666666666622,-46.0991445247429,-13.610666666666669,-80.15533333333332
LVTR1,High,2741.38982,-15.267332666666661,-19.06806666666666,4.262933333333333,0.545533333333335,2.404233333333334,-3.7173999999999996,0.5423688574674506,-1.208000000000002,1.2894999999999994,6.208916666666667,-14.853330000000028,-45.82087789626577,-15.344333333333331,-92.76632999999998
