parent.pop,elevation.group,elev_m,Lat,Long,year,cwd,pck,ppt,tmn,tmx,ann_tmean,mean_diurnal_range,temp_seasonality,temp_ann_range,tmean_wettest_quarter,tmean_driest_quarter,ann_ppt,ppt_seasonality,ppt_warmest_quarter,ppt_coldest_quarter
BH,Low,511.4294422,37.40985,-119.96458,1995,62.86333333333334,0,71.065,8.307500000000001,22.204166666666666,15.255833333333333,13.896666666666667,673.1722673396102,33.18,11.13,17.74,852.78,132.1287647228787,59.690000000000005,368.64
BH,Low,511.4294422,37.40985,-119.96458,1996,71.56666666666666,0,49.58583333333333,9.16,24.2525,16.70625,15.0925,646.035501592739,33.019999999999996,9.493333333333334,17.63,595.0300000000001,104.18307573131487,59.2,358.35
BH,Low,511.4294422,37.40985,-119.96458,1997,80.07249999999999,0,71.57166666666667,9.0975,23.747500000000002,16.4225,14.65,637.5658789489914,30.19,8.848333333333334,18.555,858.86,178.84838659833403,9.209999999999999,662.29
BH,Low,511.4294422,37.40985,-119.96458,1998,60.8525,0,79.80583333333334,8.354166666666666,21.65083333333333,15.0025,13.296666666666667,678.8708037482671,34.08,7.841666666666666,16.815,957.67,111.13864783851164,88.86999999999999,563.66
BH,Low,511.4294422,37.40985,-119.96458,1999,73.08416666666668,0,37.3775,7.449166666666667,22.633333333333333,15.04125,15.184166666666668,701.7823777224803,34.37,7.173333333333333,17.823333333333334,448.53000000000003,116.8544524927259,64.61,294.89
BH,Low,511.4294422,37.40985,-119.96458,2000,70.23083333333334,0,62.44166666666666,8.568333333333333,23.8,16.184166666666666,15.231666666666666,627.3825798626796,33.69,8.968333333333334,16.241666666666667,749.3,131.78383006960516,69.99000000000001,457.5
BH,Low,511.4294422,37.40985,-119.96458,2001,76.08,0,32.5775,8.538333333333334,24.124166666666667,16.33125,15.585833333333333,754.8467973701684,34.57,8.09,16.748333333333335,390.93,126.09838099698447,62.66,224.72
BH,Low,511.4294422,37.40985,-119.96458,2002,75.8625,0,38.785833333333336,8.518333333333333,23.663333333333334,16.090833333333332,15.145,699.7539123711905,34.800000000000004,8.118333333333334,20.74833333333333,465.42999999999984,125.89713725382383,21.07,253.67999999999998
BH,Low,511.4294422,37.40985,-119.96458,2003,69.385,0,42.388333333333335,8.96,24.423333333333336,16.691666666666666,15.463333333333333,720.1546340680569,34.93,14.725000000000001,20.386666666666667,508.66,106.57648849622994,44.65,220.51
BH,Low,511.4294422,37.40985,-119.96458,2004,81.455,0,44.44166666666667,8.545833333333334,23.8175,16.181666666666665,15.271666666666667,687.9581889162812,33.419999999999995,7.971666666666667,21.026666666666667,533.3000000000001,128.8112586831723,34.24,311.81
BH,Low,511.4294422,37.40985,-119.96458,2005,68.40666666666667,0,62.295833333333334,8.233333333333333,23.0775,15.655416666666667,14.844166666666666,691.5539963909126,35.339999999999996,8.676666666666668,19.724999999999998,747.5500000000001,115.91880235196767,30.84,432.58000000000004
BH,Low,511.4294422,37.40985,-119.96458,2006,69.94500000000001,0,60.090833333333336,8.7475,23.5775,16.1625,14.83,714.6766115460258,35.33,9.316666666666668,17.330000000000002,721.09,118.93695514573696,155.61,349.56
BH,Low,511.4294422,37.40985,-119.96458,2007,82.81416666666667,0,29.158333333333335,8.295,23.498333333333335,15.896666666666667,15.203333333333333,686.9987208315911,35.73,7.565,18.196666666666665,349.90000000000003,124.26118132985818,30.63,230.04000000000002
BH,Low,511.4294422,37.40985,-119.96458,2008,80.07666666666667,0,37.13666666666666,8.561666666666666,23.64,16.100833333333334,15.078333333333333,746.0012135419489,34.410000000000004,7.013333333333333,20.936666666666667,445.64000000000004,166.45993736252768,0.4,409.09000000000003
BH,Low,511.4294422,37.40985,-119.96458,2009,74.39333333333333,0,45.8475,8.828333333333333,23.265833333333333,16.047083333333333,14.4375,711.7925341996952,34.55,7.9433333333333325,20.77333333333333,550.17,90.2855219092458,16.37,291.66999999999996
BH,Low,511.4294422,37.40985,-119.96458,2010,69.2,0,54.49166666666667,8.130833333333333,22.205833333333334,15.168333333333333,14.075,675.5190709014181,33.18,8.22,19.179999999999996,653.9000000000001,101.02821572459595,54.82,363.90999999999997
BH,Low,511.4294422,37.40985,-119.96458,2011,66.0825,0,73.52,8.203333333333333,22.110833333333332,15.157083333333333,13.907499999999999,692.1962234384295,33.02,7.861666666666667,20.723333333333333,882.2400000000001,110.50288010109419,14.46,426.78
BH,Low,511.4294422,37.40985,-119.96458,2012,82.63166666666666,0,26.465,8.48,23.761666666666667,16.120833333333334,15.281666666666666,727.2942331100609,36.599999999999994,12.895000000000001,14.485,317.58,126.01756286311998,90.96,92.89999999999999
BH,Low,511.4294422,37.40985,-119.96458,2013,79.99166666666666,0,32.98666666666667,8.746666666666666,23.7025,16.224583333333335,14.955833333333333,709.3038026612413,36.04,7.335000000000001,20.666666666666668,395.8400000000001,177.12628982425963,26.9,256.96000000000004
BH,Low,511.4294422,37.40985,-119.96458,2014,93.24833333333333,0,20.0775,9.481666666666666,25.201666666666664,17.341666666666665,15.719999999999999,652.8913780370755,35.089999999999996,9.958333333333334,16.898333333333333,240.93,100.08038270855171,57.71,103.00999999999999
BH,Low,511.4294422,37.40985,-119.96458,2015,92.61999999999999,0,22.92,10.089166666666667,24.75166666666667,17.420416666666668,14.662500000000001,618.7198829523794,31.009999999999998,10.496666666666666,21.551666666666666,275.03999999999996,128.3658309824191,8.09,153.78
BH,Low,511.4294422,37.40985,-119.96458,2016,72.59833333333334,0,63.09916666666666,9.040000000000001,23.593333333333334,16.316666666666666,14.553333333333333,701.6076776470832,34.48,8.706666666666665,21.013333333333335,757.19,105.61008477979775,69.61,356.53999999999996
BH,Low,511.4294422,37.40985,-119.96458,2017,72.79833333333333,0,80.54666666666667,9.593333333333334,23.5625,16.577916666666667,13.969166666666666,729.836297284078,34.58,8.136666666666667,16.238333333333333,966.56,143.43153563026507,71.86,752.98
BH,Low,511.4294422,37.40985,-119.96458,2018,75.17833333333333,0,40.660000000000004,9.309166666666666,24.179166666666667,16.744166666666665,14.87,679.9718187119406,34.559999999999995,13.496666666666664,14.738333333333335,487.92,185.61017776184778,54.89,94.38
BH,Low,511.4294422,37.40985,-119.96458,2019,69.31333333333333,0,64.93083333333333,9.088333333333333,23.011666666666667,16.05,13.923333333333334,692.8955713000861,33.06,8.073333333333332,18.108333333333334,779.1700000000001,117.21968976328301,10.069999999999999,414.82
BH,Low,511.4294422,37.40985,-119.96458,2020,78.08749999999999,0,33.11666666666667,9.888333333333334,24.394166666666667,17.14125,14.505833333333333,709.5866314270584,33.19,16.886666666666663,19.006666666666668,397.4,138.51793759765553,62.6,167.51000000000002
BH,Low,511.4294422,37.40985,-119.96458,2021,87.57333333333334,0,33.42166666666667,9.965,24.45,17.2075,14.485000000000001,783.9318297124844,34.63,9.115,22.57166666666667,401.05999999999995,134.58118651296215,6.67,227.88
BH,Low,511.4294422,37.40985,-119.96458,2022,83.01666666666667,0,27.0675,11.04,24.871666666666666,17.955833333333334,13.831666666666667,737.8159672405792,32.82,17.186666666666667,20.575,324.80999999999995,197.06446054959326,71.7,201.71
BH,Low,511.4294422,37.40985,-119.96458,2023,74.72,0,86.04083333333332,9.736666666666666,21.991666666666667,15.864166666666668,12.255,781.9954031872953,35.14,7.423333333333333,18.463333333333335,1032.4899999999998,134.43895619619045,14.45,653.37
BH,Low,511.4294422,37.40985,-119.96458,2024,74.15916666666666,0,43.550000000000004,11.5875,23.822499999999998,17.705,12.235,737.6429291392216,32.89,9.823333333333332,19.805,522.6,120.32398725906592,117.32000000000001,301.26
CC,Low,313,39.58597,-121.43311,1995,45.95916666666667,0,141.10915833333334,8.7725,21.934166666666666,15.353333333333333,13.161666666666667,667.46189313539,32.36,8.803333333333333,18.026666666666667,1693.3099000000002,128.10382646110145,124.89,788.2699
CC,Low,313,39.58597,-121.43311,1996,56.34583333333333,0,99.79666666666667,9.9625,23.855833333333333,16.909166666666668,13.893333333333334,623.5773201796424,31.980000000000004,9.889999999999999,17.68166666666667,1197.56,103.91710122626698,140.87,758.6600000000001
CC,Low,313,39.58597,-121.43311,1997,54.58083333333333,0,98.64916666666666,9.888333333333334,23.7025,16.795416666666668,13.814166666666667,616.932531243134,30.409999999999997,9.361666666666666,20.80333333333333,1183.79,145.8385414560736,74.37,812.99
CC,Low,313,39.58597,-121.43311,1998,50.80833333333334,0,136.12083333333334,9.779166666666667,21.570833333333333,15.675,11.791666666666666,650.9670428747456,31.659999999999997,8.674999999999999,20.669999999999998,1633.4499999999998,108.83697797550138,125.22,927.92
CC,Low,313,39.58597,-121.43311,1999,63.689166666666665,0,77.015,8.67,22.120833333333334,15.395416666666668,13.450833333333334,675.1963168500542,31.03,7.571666666666665,20.245,924.1800000000001,116.08877880330071,54.49,520.9000000000001
CC,Low,313,39.58597,-121.43311,2000,63.61,0,93.8375,9.833333333333334,23.0475,16.440416666666668,13.214166666666667,603.5682328804459,30.669999999999998,9.361666666666666,20.92833333333333,1126.05,123.24223502210505,68.95,660.28
CC,Low,313,39.58597,-121.43311,2001,65.68083333333334,0,51.26416666666667,9.581666666666667,23.473333333333333,16.5275,13.891666666666667,711.364773452475,32.01,8.41,16.988333333333333,615.17,116.551726117273,76.77,381.53
CC,Low,313,39.58597,-121.43311,2002,64.87666666666667,0,74.69083333333333,9.579166666666666,23.138333333333335,16.35875,13.559166666666666,667.0254228833616,31.95,8.655,18.558333333333334,896.29,129.01223267381798,27.07,509.31999999999994
CC,Low,313,39.58597,-121.43311,2003,55.454166666666666,0,94.65583333333333,10.168333333333333,23.541666666666668,16.855,13.373333333333333,680.3766670682563,32.400000000000006,14.756666666666666,20.913333333333334,1135.87,133.99134379254167,97.39,657.51
CC,Low,313,39.58597,-121.43311,2004,65.52333333333334,0,86.24499999999999,9.9125,23.194166666666668,16.553333333333335,13.281666666666666,665.8141063708581,30.740000000000002,8.438333333333333,21.32,1034.9399999999998,125.25181661705831,44.02,700.0799999999999
CC,Low,313,39.58597,-121.43311,2005,54.9775,0,84.09583333333333,9.8625,22.77916666666667,16.320833333333333,12.916666666666666,662.0293124976118,32.400000000000006,9.338333333333333,20.405,1009.15,87.23312707984503,68.09,488.32
CC,Low,313,39.58597,-121.43311,2006,61.4025,0,125.85249999999999,10.140833333333333,23.2025,16.671666666666667,13.061666666666666,700.3770845809139,32.56999999999999,9.701666666666666,17.68,1510.2299999999998,123.93370302221037,179.22,798.41
CC,Low,313,39.58597,-121.43311,2007,59.965833333333336,0,66.595,9.598333333333334,23.2725,16.43541666666667,13.674166666666666,646.4511321730971,33,8.655,18.658333333333335,799.1400000000001,123.83464918642461,38.92,461.23
CC,Low,313,39.58597,-121.43311,2008,66.2975,0,57.1625,9.613333333333333,23.60333333333333,16.608333333333334,13.99,704.6707913929911,32.220000000000006,7.791666666666668,21.235,685.95,140.5430877112052,14.94,558.3199999999999
CC,Low,313,39.58597,-121.43311,2009,56.08,0,71.535,9.851666666666667,23.115000000000002,16.483333333333334,13.263333333333334,677.5312919084635,33.07,8.546666666666667,21.246666666666666,858.42,104.81252986580544,28.66,453.75
CC,Low,313,39.58597,-121.43311,2010,56.89666666666666,0,90.0775,9.4575,21.868333333333332,15.662916666666666,12.410833333333333,653.1493097549238,31.54,8.703333333333333,19.61,1080.93,98.84518914502824,92.17,542.6600000000001
CC,Low,313,39.58597,-121.43311,2011,52.70333333333333,0,111.12166666666667,9.455833333333333,21.6925,15.574166666666667,12.236666666666666,659.2482231276546,30.509999999999998,12.02833333333333,20.98,1333.4600000000003,107.5812680703469,32.88,572.9800000000001
CC,Low,313,39.58597,-121.43311,2012,61.78333333333333,0,64.30666666666667,9.7225,23.251666666666665,16.487083333333334,13.529166666666667,681.9793204787122,33.25,13.125,15.208333333333334,771.6800000000002,142.56584065336864,132.24,231.26
CC,Low,313,39.58597,-121.43311,2013,59.531666666666666,0,67.80499999999999,10.024166666666666,23.375,16.699583333333333,13.350833333333334,656.869865980571,33.46,8.411666666666667,14.708333333333334,813.6599999999999,155.92247350980992,114.7,401.14
CC,Low,313,39.58597,-121.43311,2014,61.276666666666664,0,56.615833333333335,10.921666666666667,24.774166666666666,17.847916666666666,13.852500000000001,620.8751689178654,33.230000000000004,15.658333333333331,21.036666666666665,679.3899999999999,151.9837683498301,67.69,282.84
CC,Low,313,39.58597,-121.43311,2015,63.07333333333333,0,56.37583333333333,11.468333333333334,24.639166666666664,18.05375,13.170833333333333,587.8899914486167,28.64,11.443333333333333,20.551666666666666,676.51,179.0594939917243,18.22,462.32
CC,Low,313,39.58597,-121.43311,2016,64.18833333333333,0,103.8125,10.558333333333334,23.2575,16.907916666666665,12.699166666666667,657.0969714769977,30.85,9.78,21.636666666666667,1245.75,119.74903497272634,39.73,567.82
CC,Low,313,39.58597,-121.43311,2017,60.37083333333333,0,123.95333333333332,10.971666666666668,23.483333333333334,17.2275,12.511666666666667,740.7304288213211,33.3,8.576666666666666,18.465,1487.4399999999998,120.0037933102428,150,1050.6000000000001
CC,Low,313,39.58597,-121.43311,2018,62.30833333333333,0,72.30749999999999,10.432500000000001,23.825833333333332,17.129166666666666,13.393333333333333,666.5308365414207,32.76,13.875,15.095,867.6899999999999,138.81151866651393,141.98,207.43
CC,Low,313,39.58597,-121.43311,2019,56.2825,0,113.60416666666667,10.505833333333333,22.871666666666666,16.68875,12.365833333333333,669.6445843267769,30.74,8.901666666666667,21.790000000000003,1363.2499999999998,119.97285416828501,84.82000000000001,813.3700000000001
CC,Low,313,39.58597,-121.43311,2020,62.025,0,47.160833333333336,11.3225,24.5225,17.9225,13.2,680.868379350958,30.22,10.293333333333335,20.311666666666667,565.9299999999998,138.01107741456076,50.9,317.09
CC,Low,313,39.58597,-121.43311,2021,67.5975,0,61.33333333333333,10.5925,24.5975,17.595,14.005,712.1122549404438,32.910000000000004,17.873333333333335,22.53333333333333,736,124.42989401846816,15.780000000000001,294.21999999999997
CC,Low,313,39.58597,-121.43311,2022,60.00083333333334,0,46.766666666666666,10.995833333333334,24.859166666666667,17.9275,13.863333333333333,685.3067494991501,32.03,16.84,16.218333333333334,561.2,159.7572452894674,136.81,291.07
CC,Low,313,39.58597,-121.43311,2023,59.235,0,107.14916666666667,10.023333333333333,22.198333333333334,16.110833333333332,12.175,733.444483656439,33.24,8.273333333333333,20.971666666666668,1285.7900000000002,127.4950029424318,45.97,789.06
CC,Low,313,39.58597,-121.43311,2024,61.126666666666665,0,73.84666666666666,11.9725,23.711666666666666,17.842083333333335,11.739166666666666,698.254526995491,31.26,10.15,19.621666666666666,886.1600000000001,120.50131262864411,149.08,604.13
