parent.pop,elevation.group,elev_m,ppt_dist,cwd_dist,pck_dist,tmn_dist,tmx_dist,ann_tmean_dist,mean_diurnal_range_dist,temp_seasonality_dist,temp_ann_range_dist,tmean_wettest_month_dist,tmean_driest_month_dist,ann_ppt_dist,ppt_seasonality_dist,ppt_warmest_month_dist,ppt_coldest_month_dist
BH,Low,511.4294422,37.864666666666665,-30.736761904761906,6.723333333333334,-2.537809523809524,-0.23880952380952536,-1.388309523809525,2.2989999999999977,-1.202475556811633,-0.7219999999999978,6.607333333333334,4.035666666666668,298.20599999999996,-59.440207217783396,0.7170000000000005,53.03366666666662
CC,Low,313,71.8548514814815,-32.944370370370365,6.723333333333334,-0.16333333333333222,1.132259259259257,0.48446296296295976,1.2955925925925929,-0.34238288743861656,1.2426666666666648,7.1255,8.835083333333333,746.1536633333333,-54.65504084463163,-4.664,180.6236633333333
CP2,High,2244.132886,45.09116611111111,-6.1797777777777725,-35.03044388888889,-4.781777777777778,-3.342500000000001,-4.062138888888887,1.439277777777777,0.7043705402813174,-0.03966666666666541,-0.12633333333333363,0.23983333333333334,270.54699666666664,-33.57283219004182,1.2683333333333335,117.1786633333333
CP3,High,2266.382201,42.25777722222222,-23.533277777777776,-37.57866555555556,-5.368666666666666,-4.133944444444445,-4.751305555555556,1.2347222222222207,0.7428366092054706,-0.0849999999999973,-0.8180000000000003,-0.39466666666666583,253.54666333333336,-35.67194326668819,2.101,105.06566333333336
DPR,Mid,1018.591893,63.763932333333344,-50.95696666666666,4.004033333333336,0.33840000000000003,2.0524333333333296,1.1954166666666666,1.7140333333333349,-0.07610935077243575,0.7230000000000025,5.010833333333333,6.983969444444444,770.2526566666666,-32.94977818258414,-5.519,235.51932333333338
FR,Mid,787,24.993370370370364,8.354,2.716222222222223,-1.3535185185185181,3.04574074074074,0.8461111111111101,4.399259259259258,0.026950696130777274,3.3106666666666698,4.648833333333333,5.976666666666663,324.4003333333333,-32.71049731343467,-4.192333333333334,87.939
IH,Low,454.1298385,67.10386633333333,-40.85626666666666,6.522466666666667,-0.6515666666666657,1.3637666666666668,0.3561000000000014,2.0153333333333325,0.20163897681623855,1.981333333333339,6.081833333333333,8.17863888888889,803.6519966666667,-46.18572988091783,-5.548,194.64866333333333
LV1,High,2593.416641,40.48186533333333,-15.79386666666666,-21.22926666666667,-6.370799999999999,-3.4530666666666683,-4.911933333333334,2.9177333333333326,-0.652683538402707,-2.551999999999996,0.7001666666666662,-2.796333333333333,169.25599333333332,-27.59380392661828,8.153500000000001,94.95365999999999
LV3,High,2353.550747,39.579333333333324,-27.734199999999994,-21.463000000000005,-6.413866666666666,-3.4406,-4.927233333333334,2.9732666666666656,-0.6703403163827888,-2.543999999999997,0.7131666666666661,-2.8328333333333333,164.74333333333334,-27.765723073149786,8.000666666666667,91.81533333333331
LVTR1,High,2741.38982,43.59733266666666,-7.571933333333334,-22.241998666666674,-6.694599999999999,-3.5772000000000013,-5.135900000000001,3.1174,-0.6948297542575901,-2.4819999999999958,0.5754999999999999,-3.0739166666666655,184.83333,-28.043989701626913,9.734333333333332,104.42632999999998
SC,Low,421.5178299,61.15238095238094,-38.556571428571424,6.687285714285714,-2.4030476190476184,-0.9873333333333321,-1.6951904761904775,1.4157142857142855,-1.5933635485371322,-2.442666666666664,6.935666666666667,3.417166666666663,461.21999999999997,-63.837103268354554,2.535666666666665,103.43366666666662
SQ1,Mid,1921.036585,12.003082916666663,8.761041666666685,-2.6600416666666655,-2.143375,-0.9102500000000013,-1.5268125000000001,1.2331249999999976,-0.2499376242023681,-0.2506666666666604,2.5603333333333333,0.2612500000000004,162.33132999999998,-23.048797847479506,0.1696666666666662,40.013329999999996
SQ2,Mid,1934.45122,13.549,-12.517809523809518,-2.4773809523809502,-1.9772380952380955,-0.6069047619047616,-1.292071428571429,1.3703333333333347,0.0643698080178936,-0.26966666666666583,2.956833333333333,-0.09691666666666521,127.99633333333333,-17.432271723560916,-0.3600000000000003,42.93566666666666
SQ3,High,2373.170732,17.65609476190476,-3.488095238095241,-14.104285714285709,-4.031666666666666,-2.762999999999998,-3.3973333333333358,1.2686666666666664,-0.11864332436457836,-0.6829999999999963,1.0324999999999998,-2.346499999999999,156.74599666666666,-18.732654001313193,0.8319999999999999,58.268663333333336
TM2,Low,379.1526973,98.83995791666666,-50.185541666666666,6.723333333333334,-1.6064583333333333,-1.0594583333333318,-1.3329583333333357,0.5470000000000006,-1.6891954466091157,-3.0953333333333326,6.659833333333332,2.813833333333335,857.0263299999999,-66.45905574436699,9.756,218.51799666666665
WL1,Mid,1613.837245,34.9547075,-13.102083333333326,-6.574083333333335,-1.8363333333333332,0.6464166666666671,-0.5949583333333361,2.4827499999999976,-0.27248668078398275,0.5736666666666679,3.21,3.2227777777777753,345.94432666666665,-29.89693692114821,-3.7233333333333336,113.90499333333332
